Action Categories,"Acting 
Agent",Action Title,"Receiving 
Agent","Preceding 
Action Titles","USPTO 
Form Code","USPTO 
Form Title","Submittal 
Options",Fee,"Fee 
SmallEntity?",Due Date,"Due Date 
Extendable?","Who Can 
Sign","Certified Owner 
Required?","SMIndex 
Item Name"
3 - Ownership and Assignment,Applicant,File Assignment Document,USPTO,,,,Fax OK; NO EFS-Web (use EPAS),,,,,,,
,Applicant,File Authorization to Charge Deposit Account,USPTO,,,,Fax OK,,,,,,,
"2 - Types of Applications; 
15 - Design Applications",Applicant,File Design Application,USPTO,,AIA/18,Design Patent Application Transmittal,NO FAX,,,,,,,
"2 - Types of Applications; 
29 - International Design Applications",Applicant,File International Design Application,"USRO; 
WIPO",,,,NO FAX,,,,,,,
"2 - Types of Applications; 
18 - PCT Applications",Applicant,File International Utility Application,"USRO; 
WIPO",,,,NO FAX,,,,,,,
"2 - Types of Applications; 
18 - PCT Applications",Applicant,File Submission to Enter the PCT National Stage,"USPTO; 
WIPO",,,,NO FAX,,,,,,,
2 - Types of Applications,Applicant,File Provisional Utility Application,USPTO,,SB/16,Provisional Application for Patent Cover Sheet,NO FAX,,,,,,,
24 - Biotechnology,Applicant,Deposit Biological Samples,USPTO,,,,,,,,,,,
2 - Types of Applications,Applicant,File Utility Application,USPTO,"File Provisional Utility Application; 
Deposit Biological Samples; ",AIA/15,Utility Patent Application Transmittal,NO FAX,,,,,,,
"2 - Types of Applications; 
16 - Plant Applications",Applicant,File Plant Application,USPTO,File Provisional Utility Application; ,AIA/19,Plant Patent Application Transmittal,NO FAX; NO EFS-Web,,,,,,,
"2 - Types of Applications; 
1 - Foreign Filing",Applicant,File Utility Application in a Foreign Country,OtherCountryRO,File Provisional Utility Application; ,-,-,,,,,,,,
7 - Examinations,USPTO,Issue Filing Receipt,Applicant,"File Design Application; 
File Submission to Enter the PCT National Stage; 
File Provisional Utility Application; 
File Plant Application; 
File Utility Application; ",-,-,-,,,,,,,
7 - Examinations,OPAP,Issue Notice to File Corrected Application Papers,Applicant,"File Design Application; 
File Submission to Enter the PCT National Stage; 
File Provisional Utility Application; 
File Plant Application; 
File Utility Application; ",-,-,-,,,,,,,
7 - Examinations,OPAP,Issue Notice to File Missing Parts,Applicant,"File Design Application; 
File Submission to Enter the PCT National Stage; 
File Provisional Utility Application; 
File Plant Application; 
File Utility Application; ",-,-,-,,,,,,,
2 - Types of Applications,Applicant,File Request to Convert Provisional to Non-Provisional Application,USPTO,File Provisional Utility Application; ,,,,,,,,,,
2 - Types of Applications,Applicant,File Request to Convert Non-Provisional to Provisional Application,USPTO,"File Plant Application; 
File Utility Application; ",,,,,,,,,,
7 - Examinations,Applicant,File ADS,USPTO,Issue Filing Receipt; ,AIA/14,Application Data Sheet,,,,,,,,
7 - Oath or Declaration,Applicant,File Declaration For Utility Or Design Application Using An ADS,USPTO,File ADS; ,AIA/01,File Declaration (37 CFR 1.63) For Utility Or Design Application Using An Application Data Sheet (37 CFR 1.76),Fax OK,,,,,,,
7 - Information Disclosure Statement,Applicant,File IDS,USPTO,File Declaration For Utility Or Design Application Using An ADS; ,SB/08a; SB/08b,Information Disclosure Statement by Applicant,Fax OK,,,,,,,
11 - SIR,Applicant,File Request for SIR,USPTO,File IDS; ,,,-,,,,,,,
11 - Publication,Applicant,File Nonpublication Request,USPTO,File IDS; ,SB/35,Nonpublication Request under 35 U.S.C. 122(b)(2)(B)(i),,,,,,,,
11 - Publication,Applicant,File Rescission of Previous Nonpublication Request and Notice of Foreign Filing,USPTO,File Nonpublication Request; ,SB/36,"Rescission of Previous Nonpublication Request (35 U.S.C. 122(b)(2)(B)(ii)) and, if applicable, Notice of Foreign Filing (35 U.S.C. 122(b)(2)(B)(iii))",,,,,,,,
11 - Publication,USPTO,Pre-Grant Publication,Public,"File IDS; 
File Rescission of Previous Nonpublication Request and Notice of Foreign Filing; ",-,-,-,,,,,,,
