Category,Code,Title,Update,Notes,File Name
CARES Act Relief,SB/449,Statement of Delay Due to COVID-19 Outbreak,04/2020,,SB449 - Statement of Delay Due to COVID-19 Outbreak.pdf
Appeal,AIA/31,Notice of Appeal,03/2014,,AIA32 - Notice of Appeal.pdf
Appeal,AIA/32,Request for Oral Hearing Before the Patent Trial and Appeal Board,03/2013,,AIA32 - Request for Oral Hearing Before the Patent Trial and Appeal Board.pdf
Appeal,AIA/33,Pre-Appeal Brief Request for Review,03/2013,,AIA33 - Pre-Appeal Brief Request for Review.pdf
Appeal,AIA/34,Certification and Transmittal of Appeal Forwarding Fee,06/2014,,AIA34 - Certification and Transmittal of Appeal Forwarding Fee.pdf
Application Data Sheet,AIA/14,Application Data Sheet (37 CFR 1.76),02/2018,"Several Forms, Instructions Downloaded, Form Not Accessible via Chrome",
Certificate of Mailing/Transmission ,SB/92,Certificate of Mailing or Transmission under 37 CFR 1.8,07/2016,,SB92 - Certificate of Mailing or Transmission under 37 CFR 1_8.pdf
Customer Number,SB/124,Request for Customer Number Data Change,12/2008,,SB124 - Request for Customer Number Data Change.pdf
Customer Number,SB/125,Request for Customer Number,11/2008,,SB125 - Request for Customer Number.pdf
Design,SB/29,For Design Applications Only: Continued Prosecution Application (CPA) Request Transmittal,11/2017,,SB29 - For Design Applications Only Continued Prosecution Application Request Transmittal.pdf
Design,SB/29A,For Design Applications Only: Receipt For Facsimile Transmitted CPA,07/2007,,SB29A - For Design Applications Only Receipt For Facsimile Transmitted CPA.pdf
Design,SB/27,Request for Expedited Examination of a Design Application (37 CFR 1.155),05/2015,,SB27 - Request for Expedited Examination of a Design Application 37 CFR 1_155.pdf
Express Abandonment,AIA/24,Express Abandonment Under 37 CFR 1.138,07/2017,,AIA24 - Express Abandonment Under 37 CFR 1_138.pdf
Express Abandonment,AIA/24A,Petition for Express Abandonment to Avoid Publication under 37 CFR 1.138(c),07/2017,,AIA24A - Petition for Express Abandonment to Avoid Publication under 37 CFR 1_138c.pdf
Express Abandonment,AIA/24B,Petition for Express Abandonment to Obtain a Refund,07/2017,,AIA24B - Petition for Express Abandonment to Obtain a Refund.pdf
Fees,SB/06,Patent Application Fee Determination Record,09/2016,,SB06 - Patent Application Fee Determination Record.pdf
Fees,SB/07,Multiple Dependent Claim Fee Calculation Sheet,07/2007,,SB07 - Multiple Dependent Claim Fee Calculation Sheet.pdf
Fees,SB/15A,Certification of Micro Entity Status - Gross Income Basis,09/2014,,SB15A - Certification of Micro Entity Status - Gross Income Basis.pdf
Fees,SB/15B,Certification of Micro Entity Status - Institution of Higher Education Basis,09/2014,,SB15B - Certification of Micro Entity Status - Institution of Higher Education Basis.pdf
Fees,SB/17,Fee Transmittal,01/2018,,SB17 - Fee Transmittal.pdf
Fees,SB/17i,Processing Fee Under 37 CFR 1.17(i) Transmittal,05/2015,,SB17i - Processing Fee Under 37 CFR 1_17i Transmittal.pdf
Fees,AIA/17p,"Petition Fee Under 37 CFR 1.17(f), (g) & (h) Transmittal",06/2018,,AIA17p - Petition Fee Under 37 CFR 1_17fgh Transmittal.pdf
Fees,SB/45,Maintenance Fee Transmittal,03/2013,,SB45 - Maintenance Fee Transmittal.pdf
Fees,AIA/47,"""Fee Address"" Indication Form",11/2018,,AIA47 - Fee Address Indication Form.pdf
Fees,SB/56,Reissue Application Fee Transmittal,03/2013,,SB56 - Reissue Application Fee Transmittal.pdf
Fees,PTOL-85,Fee Transmittal (Part B) of the Notice of Allowance and Fee(s) Due Form,08/2018,,PTOL85 - Fee Transmittal Part B of the Notice of Allowance and Fees Due Form.pdf
Fees,SB/91,Deposit Account Order Form,07/2009,,SB91 - Deposit Account Order Form.pdf
Fees,SB/448,Certification and Request to Treat an Application Filed During a Designated Significant Unplanned Electronic Business System Outage as an Application Filed by the USPTO’s Electronic Filing System,08/2018,,SB448 - Certification and Request to Treat an Application Filed During a Designated Significant Unplanned Electronic Business System Outage as an Application Filed by the USPTOs Electronic Filing System.pdf
Fees,PTO-2038,Credit Card Payment Form and Instructions,03/2020,,PTO2038 - Credit Card Payment Form and Instructions.pdf
Fees,PTO-2326,Request for Refund,09/2018,,PTO2326 - Request for Refund.pdf
Information Disclosure Statement,SB/08a-EFS-Web,Information Disclosure Statement by Applicant - EFS-Web auto-load version,02/2018,Instructions Downloaded,This form must be filed via EFS-Web. Form Not Accessible via Chrome
Information Disclosure Statement,SB/08a,Information Disclosure Statement by Applicant [page 1],06/2015,,SB08a - Information Disclosure Statement by Applicant page 1.pdf
Information Disclosure Statement,SB/08b,Information Disclosure Statement by Applicant [page 2],06/2015,,SB08b - Information Disclosure Statement by Applicant page 2.pdf
Information Disclosure Statement,SB/09,Certification and Request for Consideration of an Information Disclosure Statement Filed After Payment of the Issue Fee Under the QPIDS Pilot Program,12/2016,,SB09 - Certification and Request for Consideration of an Information Disclosure Statement Filed After Payment of the Issue Fee Under the QPIDS Pilot Program.pdf
Information Disclosure Statement,SB/133,Patent Term Adjustment Statement Under 37 CFR 1.704(d),05/2018,,SB133 - Patent Term Adjustment Statement Under 37 CFR 1_704d.pdf
Inventor's Oath or Declaration,AIA/01,Declaration (37 CFR 1.63) For Utility Or Design Application Using An Application Data Sheet (37 CFR 1.76),06/2012,,AIA01 - Declaration 37 CFR 1_63 For Utility Or Design Application Using An Application Data Sheet 37 CFR 1_76.pdf
Inventor's Oath or Declaration,AIA/01 Translations,Non-English language Translations of Declaration (37 CFR 1.63) For Utility Or Design Application Using An Application Data Sheet (37 CFR 1.76),06/2012,,AIA01 - Non-English language Translations of Declaration 37 CFR 1_63 For Utility Or Design Application Using An Application Data Sheet 37 CFR 1_76.pdf
Inventor's Oath or Declaration,AIA/02,Substitute Statement In Lieu Of An Oath Or Declaration For Utility Or Design Patent Application (35 U.S.C. 115(d) And 37 CFR 1.64) ,06/2015,,AIA02 - Substitute Statement In Lieu Of An Oath Or Declaration For Utility Or Design Patent Application 35 USC 115d And 37 CFR 1_64.pdf
Inventor's Oath or Declaration,AIA/02 Translations,Non-English language Translations of Substitute Statement In Lieu Of An Oath Or Declaration For Utility Or Design Patent Application (35 U.S.C. 115(d) And 37 CFR 1.64),07/2013,,AIA02 - Non-English language Translations of Substitute Statement In Lieu Of An Oath Or Declaration For Utility Or Design Patent Application 35 USC 115d And 37 CFR 1_64.pdf
Inventor's Oath or Declaration,AIA/03,Declaration (37 CFR 1.63) For Plant Application Using An Application Data Sheet (37 CFR 1.76),06/2012,,AIA03 - Declaration 37 CFR 1.63 For Plant Application Using An Application Data Sheet 37 CFR 1_76.pdf
Inventor's Oath or Declaration,AIA/04,Substitute Statement In Lieu Of An Oath Or Declaration For Plant Patent Application (35 U.S.C. 115(d) And 37 CFR 1.64),06/2015,,AIA04 - Substitute Statement In Lieu Of An Oath Or Declaration For Plant Patent Application 35 USC 115d And 37 CFR 1_64.pdf
Inventor's Oath or Declaration,AIA/05,Reissue Application Declaration By The Inventor,06/2012,,AIA05 - Reissue Application Declaration By The Inventor.pdf
Inventor's Oath or Declaration,AIA/06,Reissue Application Declaration By The Assignee,02/2017,,AIA06 - Reissue Application Declaration By The Assignee.pdf
Inventor's Oath or Declaration,AIA/07,Substitute Statement In Lieu Of An Oath Or Declaration For Reissue Patent Application (35 U.S.C. 115(d) And 37 CFR 1.64),06/2015,,AIA07 - Substitute Statement In Lieu Of An Oath Or Declaration For Reissue Patent Application 35 USC 115d And 37 CFR 1_64.pdf
Inventor's Oath or Declaration,AIA/08,Declaration For Utility Or Design Patent Application (37 CFR 1.63),11/2015,,AIA08 - Declaration For Utility Or Design Patent Application 37 CFR 1_63.pdf
Inventor's Oath or Declaration,AIA/09,Plant Patent Application (35 U.S.C. 161) Declaration (37 CFR 1.162),06/2012,,AIA09 - Plant Patent Application 35 USC 161 Declaration 37 CFR 1_162.pdf
Inventor's Oath or Declaration,AIA/10,Supplemental Sheet For Declaration,06/2012,,AIA10 - Supplemental Sheet For Declaration.pdf
Inventor's Oath or Declaration,AIA/11,Substitute Statement Supplemental Sheet,06/2012,,AIA11 - Substitute Statement Supplemental Sheet.pdf
Nonpublication Request,SB/35,Nonpublication Request under 35 U.S.C. 122(b)(2)(B)(i),07/2009,Note: This form must be signed in compliance with 37 CFR 1.33(b) and submitted with the application upon filing.,SB35 - Nonpublication Request under 35 U.S.C. 122b2Bi.pdf
Nonpublication Request,SB/36,"Rescission of Previous Nonpublication Request (35 U.S.C. 122(b)(2)(B)(ii)) and, if applicable, Notice of Foreign Filing (35 U.S.C. 122(b)(2)(B)(iii))",07/2009,,"SB36 - Rescission of Previous Nonpublication Request 35 USC 122b2Bii and, if applicable, Notice of Foreign Filing 35 USC 122b2Biii.pdf"
Patent Cooperation Treaty (PCT),SB/64PCT,Petition for Revival of an International Application for Patent Designating the U.S. Abandoned Unintentionally Under 37 CFR 1.137(a),01/2018,,SB64PCT - Petition for Revival of an International Application for Patent Designating the US Abandoned Unintentionally Under 37 CFR 1_137a.pdf
Patent Cooperation Treaty (PCT),PTO-1390,"Transmittal Letter to the U.S. Designated/Elected Office (DO/EO/US) Concerning a Submission under 35 U.S.C. 371 (for PCT filing dates on or after March 16, 2013)",01/2018,,PTO1390 - Transmittal Letter to the US Designated_Elected Office DO_EO_US Concerning a Submission under 35 USC 371 for PCT filing dates on or after March 16 2013.pdf
Patent Cooperation Treaty (PCT),PTO-1382,Transmittal Letter to the U.S. Receiving Office (RO/US),01/2017,,PTO1382 - Transmittal Letter to the US Receiving Office RO_US.pdf
Patent Electronic System Verification Form,PTO-2042a,Patent Electronic System Verification Form,01/2019,,PTO2042a - Patent Electronic System Verification Form.pdf
Petitions,SB/443,Certification and Petition to Make Special under the Cancer Immunotherapy Pilot Program,06/2016,,SB443 - Certification and Petition to Make Special under the Cancer Immunotherapy Pilot Program.pdf
Petitions,AIA/22,Petition for Extension of Time Under 37 CFR 1.136(a),03/2013,,AIA22 - Petition for Extension of Time Under 37 CFR 1_136a.pdf
Petitions,SB/23,Petition for Extension of Time Under 37 CFR 1.136(b),07/2009,,SB23 - Petition for Extension of Time Under 37 CFR 1_136b.pdf
Petitions,SB/64,Petition for Revival of an Application for Patent Abandoned Unintentionally under 37 CFR 1.137(a) ,01/2018,Note: A Petition for Revival to accept the late payment of issue fee may alternatively be filed as a Web-based ePetition.,SB64 - Petition for Revival of an Application for Patent Abandoned Unintentionally under 37 CFR 1_137a.pdf
