Part,Chapter,Section,Paragraph,Update Status,Title,Links to MPEP,Links to 35USC,Links to 37CFR,Links to Cases and Actions
MPEP,1500,1501,,,Statutes and Rules Applicable [R-07.2015],,,,
MPEP,1500,1502,,,Definition of a Design [R-07.2015],,,,
MPEP,1500,1502.01,,,Distinction Between Design and Utility Patents [R-07.2015],,,,
MPEP,1500,1503,,,Elements of a Design Patent Application Filed Under 35 U.S.C. chapter 16 [R-08.2017],,,,
MPEP,1500,1503.01,,,Specification [R-08.2017],,,,
MPEP,1500,1503.01,,,Design Patent Specification Arrangement (Ch. 16 Design Application),,,,
MPEP,1500,1503.01(I),,,PREAMBLE AND TITLE,,,,
MPEP,1500,1503.01(I),p1,,,,,37 CFR 1.154; ,
MPEP,1500,1503.01(I),p2,,,,,,
MPEP,1500,1503.01(I),p3,,,,,,
MPEP,1500,1503.01(I),p4,,,,,37 CFR 1.153; ,
MPEP,1500,1503.01(I),p5,,,,35 U.S.C. 112(b); ,,
MPEP,1500,1503.01(I),p6,,,,35 U.S.C. 132; 35 U.S.C. 132; 35 U.S.C. 112(a); ,,
MPEP,1500,1503.01(I),p7,,,,,,
MPEP,1500,1503.01(I),p8,,,,,37 CFR 1.1067; 37 CFR 1.153; ,
MPEP,1500,1503.01,,,.01 Title of Design Invention,,,,
MPEP,1500,1503.01,,,Amend Title,,,,
MPEP,1500,1503.01(II),,,DESCRIPTION,,,,
MPEP,1500,1503.01(II),p1,,,,,,"In re Freeman, 23 App. D.C. 226 (App. D.C. 1904); "
MPEP,1500,1503.01,,,Characteristic Feature Statement,,,,
MPEP,1500,1503.01,,,.01 Feature Statement Caution,,,,
MPEP,1500,1503.01,,,"Functional, Structural Features Not Considered",,,,
MPEP,1500,1503.01,,,.01 Impermissible Descriptive Statement,,,,
MPEP,1500,1503.01,,,Amend All Figure Descriptions,,,,
MPEP,1500,1503.01,,,Amend Selected Figure Descriptions,,,,
MPEP,1500,1503.01,,,.01 Amend Specification to Add Reference to Color Drawing(s)/ Photograph(s) (Ch. 16 Design Application),,,,
MPEP,1500,1503.01(III),,,DESIGN CLAIM,,,,
MPEP,1500,1503.01(III),p1,,,,,37 CFR 1.75; 37 CFR 1.153; ,
MPEP,1500,1503.01,,,"Amend Claim ""As Shown""",,,,
MPEP,1500,1503.01,,,"Amend Claim ""As Shown and Described""",,,,
MPEP,1500,1503.01,,,"Addition of ""And Described"" to Claim",,,,
MPEP,1500,1503.02,,,Drawing [R-08.2017],,,,
MPEP,1500,1503.02,,,.03 Drawing/Photograph Disclosure Objected To,,,,
MPEP,1500,1503.02,,,.04 Replacement Drawing Sheets Required,,,,
MPEP,1500,1503.02,,,.05 Drawing Correction Required Prior to Appeal,,,,
MPEP,1500,1503.02,,,Avoidance of New Matter,,,,
MPEP,1500,1503.02,,,Necessity for Good Drawings,,,,
MPEP,1500,1503.02(I),,,VIEWS,,,,
MPEP,1500,1503.02(I),p1,,,,,,
MPEP,1500,1503.02(I),p2,,,,,,
MPEP,1500,1503.02(I),p3,,,,,37 CFR 1.84(h)(3); ,
MPEP,1500,1503.02(II),,,SURFACE SHADING,,,,
MPEP,1500,1503.02(II),p1,,,,,37 CFR 1.152; ,
