Part,Chapter,Section,Paragraph,Update Status,Title,Links to MPEP,Links to 35USC,Links to 37CFR,Links to Cases and Actions
MPEP,1600,1601,,,"Introduction: The Act, Scope, Type of Plants Covered [R-11.2013]",,,,
MPEP,1600,,p1,,,,,,
MPEP,1600,,p2,,,,,,
MPEP,1600,,p1,,,,,,
MPEP,1600,1602,,,Rules Applicable [R-08.2012],,,,
MPEP,1600,1603,,,Elements of a Plant Application [R-11.2013],,,,
MPEP,1600,1604,,,"Applicant, Oath or Declaration [R-11.2013]",,,,
MPEP,1600,1605,,,Specification and Claim [R-11.2013],,,,
MPEP,1600,,p1,,,,,,
MPEP,1600,,p2,,,,,,
MPEP,1600,1605,,,".01 Specification, Manner of Asexually Reproducing",,,,
MPEP,1600,1605,,,".09 Specification, Less Than Complete Description",,,,
MPEP,1600,1605,,,".10 Specification, Location of Plant Not Disclosed",,,,
MPEP,1600,1605,,,.02 Colors Specified Do Not Correspond With Those Shown,,,,
MPEP,1600,1605,,,".03 Rejection, 35 U.S.C. 112(a) or pre-AIA 35 U.S.C. 112, 1st Paragraph, Non-Support for Colors",,,,
MPEP,1600,1606,,,Drawings [R-11.2013],,,,
MPEP,1600,1606,,,.06 Color Drawings Must Be in Duplicate,,,,
MPEP,1600,1606,,,.07 Drawing Figures Not Competently Executed,,,,
MPEP,1600,1606,,,.11 Drawings in Improper Scale,,,,
MPEP,1600,1607,,,Specimens [R-08.2012],,,,
MPEP,1600,1607,,,.13 Specimens Are Required,,,,
MPEP,1600,1608,,,Examination [R-11.2013],,,,
MPEP,1600,1609,,,Report of Agricultural Research Service [R-11.2013],,,,
MPEP,1600,,p1,,,,,,
MPEP,1600,1610,,,The Action [R-08.2012],,,,
MPEP,1600,1610,,,.12 Report From U.S. Dept. of Agriculture,,,,
MPEP,1600,1610,,,".04 Rejection, 35 U.S.C. 102",,,,
MPEP,1600,1610,,,".08 Rejection, 35 U.S.C. 112",,,,
MPEP,1600,1611,,,Issue [R-11.2013],,,,
MPEP,1600,1612,,,UPOV Convention [R-11.2013],,,,
MPEP,1600,1612,,,.05 Name or Denomination for Plant Missing,,,,
MPEP,1600,1612,,,.05.01 Latin Name of Genus and Species of the Plant Claimed Missing,,,,
MPEP,1600,1613,,,Right of Priority Based upon Application for Plant Breeder’s Rights [R-08.2012],,,,
