Chapter,Part,Section,Paragraph,Update Status,Title
,,,,,Appendix R - Patent Rules
I,,,,,"UNITED STATES PATENT AND TRADEMARK OFFICE, DEPARTMENT OF COMMERCE"
IA,,,,,GENERAL
IA,,,,,PATENTS
IA,1,,,,RULES OF PRACTICE IN PATENT CASES
IA,1A,,,,General Provisions
IA,1A,,,,GENERAL INFORMATION AND CORRESPONDENCE
IA,1A,1.1,,,Addresses for non-trademark correspondence with the United States Patent and Trademark Office.
IA,1A,1.2,,,Business to be transacted in writing.
IA,1A,1.3,,,Business to be conducted with decorum and courtesy.
IA,1A,1.4,,,Nature of correspondence and signature requirements.
IA,1A,1.5,,,"Identification of patent, patent application, or patent-related proceeding."
IA,1A,1.6,,,Receipt of correspondence.
IA,1A,1.7,,,"Times for taking action; Expiration on Saturday, Sunday or Federal holiday."
IA,1A,1.8,,,Certificate of mailing or transmission.
IA,1A,1.9,,,Definitions.
IA,1A,1.10,,,Filing of correspondence by Priority Mail Express
IA,1A,,,,RECORDS AND FILES OF THE PATENT AND TRADEMARK OFFICE
IA,1A,1.11,,,Files open to the public.
IA,1A,1.12,,,Assignment records open to public inspection.
IA,1A,1.12,,(pre-AIA),Assignment records open to public inspection.
IA,1A,1.13,,,Copies and certified copies.
IA,1A,1.14,,,Patent applications preserved in confidence.
IA,1A,1.14,,(pre-AIA),Patent applications preserved in confidence.
IA,1A,1.15,,,[Reserved]
IA,1A,,,,FEES AND PAYMENT OF MONEY
IA,1A,1.16,,,"National application filing, search, and examination fees."
IA,1A,1.17,,,Patent application and reexamination processing fees.
IA,1A,1.18,,,Patent post allowance (including issue) fees.
IA,1A,1.19,,,Document supply fees.
IA,1A,1.20,,,Post issuance fees.
IA,1A,1.21,,,Miscellaneous fees and charges.
IA,1A,1.22,,,Fees payable in advance.
IA,1A,1.23,,,Methods of payment.
IA,1A,1.24,,,[Reserved]
IA,1A,1.25,,,Deposit accounts.
IA,1A,1.26,,,Refunds.
IA,1A,1.27,,,Definition of small entities and establishing status as a small entity to permit payment of small entity fees; when a determination of entitlement to small entity status and notification of loss of entitlement to small entity status are required; fraud on the Office.
IA,1A,1.27,,(pre-AIA),Definition of small entities and establishing status as a small entity to permit payment of small entity fees; when a determination of entitlement to small entity status and notification of loss of entitlement to small entity status are required; fraud on the Office.
IA,1A,1.28,,,Refunds when small entity status is later established; how errors in small entity status are excused.
IA,1A,1.29,,,Micro entity status.
IA,1B,,,,National Processing Provisions
IA,1B,,,,PROSECUTION OF APPLICATION AND APPOINTMENT OF ATTORNEY OR AGENT
IA,1B,1.31,,,Applicant may be represented by one or more patent practitioners or joint inventors.
IA,1B,1.32,,,Power of attorney.
IA,1B,1.32,,(pre-AIA),Power of attorney.
IA,1B,1.33,,,"Correspondence respecting patent applications, reexamination proceedings, and other proceedings."
IA,1B,1.33,,(pre-AIA),"Correspondence respecting patent applications, reexamination proceedings, and other proceedings."
IA,1B,1.34,,,Acting in a representative capacity.
IA,1B,1.36,,,Revocation of power of attorney; withdrawal of patent attorney or agent.
IA,1B,1.36,,(pre-AIA),Revocation of power of attorney; withdrawal of patent attorney or agent.
IA,1B,,,,WHO MAY APPLY FOR A PATENT
IA,1B,1.41,,,Inventorship.
IA,1B,1.41,,(pre-AIA),Applicant for patent.
IA,1B,1.42,,,Applicant for patent.
IA,1B,1.42,,(pre-AIA),When the inventor is dead.
IA,1B,1.43,,,Application for patent by a legal representative of a deceased or legally incapacitated inventor.
IA,1B,1.43,,(pre-AIA),When the inventor is insane or legally incapacitated.
IA,1B,1.44,,,[Reserved]
IA,1B,1.45,,,Application for patent by joint inventors.
IA,1B,1.45,,(pre-AIA),Joint inventors.
IA,1B,1.46,,,"Application for patent by an assignee, obligated assignee, or a person who otherwise shows sufficient proprietary interest in the matter."
IA,1B,1.46,,(pre-AIA),Assigned inventions and patents.
IA,1B,1.47,,,[Removed and Reserved]
IA,1B,1.47,,(pre-AIA),Filing when an inventor refuses to sign or cannot be reached.
IA,1B,1.48,,,"Correction of inventorship pursuant to 35 U.S.C. 116 or correction of the name or order of names in a patent application, other than a reissue application."
IA,1B,,,,THE APPLICATION
IA,1B,1.51,,,General requisites of an application.
IA,1B,1.52,,,"Language, paper, writing, margins, compact disc specifications."
IA,1B,1.53,,,"Application number, filing date, and completion of application."
IA,1B,1.53,,(pre-PLT (AIA)),"Application number, filing date, and completion of application."
IA,1B,1.53,,(pre-AIA),"Application number, filing date, and completion of application."
IA,1B,1.54,,,Parts of application to be filed together; filing receipt.
IA,1B,1.55,,,Claim for foreign priority.
IA,1B,1.56,,,Duty to disclose information material to patentability.
IA,1B,1.56,,(pre-AIA),Duty to disclose information material to patentability.
IA,1B,1.57,,,Incorporation by reference.
IA,1B,1.57,,(pre-PLT),Incorporation by reference.
IA,1B,1.58,,,Chemical and mathematical formulae and tables.
IA,1B,1.59,,,Expungement of information or copy of papers in application file.
IA,1B,1.60,,,[Reserved]
IA,1B,1.61,,,[Reserved]
IA,1B,1.62,,,[Reserved]
IA,1B,,,,OATH OR DECLARATION
IA,1B,1.63,,,Inventor’s oath or declaration.
IA,1B,1.63,,(pre-AIA),Oath or declaration.
IA,1B,1.64,,,Substitute statement in lieu of an oath or declaration.
IA,1B,1.64,,(pre-AIA),Person making oath or declaration.
IA,1B,1.66,,,Statements under oath.
IA,1B,1.66,,(pre-AIA),Officers authorized to administer oaths.
IA,1B,1.67,,,Supplemental oath or declaration.
IA,1B,1.67,,(pre-AIA),Supplemental oath or declaration.
IA,1B,1.68,,,Declaration in lieu of oath.
IA,1B,1.69,,,Foreign language oaths and declarations.
IA,1B,1.70,,,[Reserved]
IA,1B,,,,SPECIFICATION
IA,1B,1.71,,,Detailed description and specification of the invention.
IA,1B,1.72,,,Title and abstract.
IA,1B,1.73,,,Summary of the invention.
IA,1B,1.74,,,Reference to drawings.
IA,1B,1.75,,,Claim(s).
IA,1B,1.76,,,Application data sheet.
IA,1B,1.76,,(2012-09-16 thru 2013-12-17),Application data sheet.
IA,1B,1.76,,(pre-AIA),Application data sheet.
IA,1B,1.77,,,Arrangement of application elements.
IA,1B,1.78,,,Claiming benefit of earlier filing date and cross-references to other applications.
IA,1B,1.79,,,Reservation clauses not permitted.
IA,1B,,,,THE DRAWINGS
IA,1B,1.81,,,Drawings required in patent application.
IA,1B,1.81,,(2012-09-16 thru 2013-12-17),Drawings required in patent application.
IA,1B,1.81,,(pre-AIA),Drawings required in patent application.
IA,1B,1.83,,,Content of drawing.
