Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
A4 size paper,,,,,Paper size; ,608.01; 608.02; 1825; 
A.I. series of patents,,,,,Patent; ,901.04; 
Abandoned application,,,,,Abandonment; ,
Abandoned application,Accessibility to public,,,,,103; 711.04; 
Abandoned application,"Counting, when processed",,,,,711.04(a); 
Abandoned application,Definition,,,,,203.05; 
Abandoned application,Failure to provide timely notice of foreign filing when nonpublication requested,,,,,1124; 
Abandoned application,Fee on petition to revive,,,,,711.03(c); 
Abandoned application,"Issue fee, failure to pay",,,,,711.03(c); 
Abandoned application,Ordering,,,,,711.04(b); 905.03; 
Abandoned application,"Papers received, handling",,,,,508.02; 
Abandoned application,Provisional application,,,,,201.04; 211.01(a); 
Abandoned application,Reference use,,,,,901.02; 2127; 2136.02; 
Abandoned application,Referred to in issued patent,,,,,103; 
Abandoned application,Revival,,,,,711.03(c); 1893.02; 
Abandoned application,Revival,Provisional application,,,,711.03(c); 
Abandoned application,Storage,,,,,711.04(b); 
Abandoned application,When open to the public,,,,,103; 
Abandoned file,,,,,Abandoned application; Abandonment; ,
Abandoned files repository,,,,,,711.04(b); 901.01(a); 
Abandonment,,,,,Abandoned application; ,711; 
Abandonment,After allowance,,,,,711.05; 
Abandonment,After payment of issue fee,,,,,711.01; 
Abandonment,Amendment late,,,,,711.02; 714.17; 
Abandonment,Appeal dismissal,,,,,1215.04; 
Abandonment,Appeal withdrawal,,,,,1215.01; 1215.03; 
Abandonment,Assignee must consent,,,,,711; 
Abandonment,Change of address,,,,,711.03(c); 
Abandonment,Counted as a disposal,,,,,1705; 
Abandonment,Date of,,,,,711.04(a); 
Abandonment,Destroys continuity,,,,,211.01; 211.01(b); 
Abandonment,Express,,,,,711; 711.01; 
Abandonment,Express,Continued prosecution application CPA,,,,201.06(d); 
Abandonment,Express,Issue fee not paid,,,,711.03(c); 
Abandonment,Express,Issue fee paid,,,,711.01; 711.05; 
Abandonment,Failure to file property rights statement,,,,,150; 
Abandonment,Failure to pay issue fee,,,,,711.03(c); 
