Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
CAFC,,,,,Court of Appeals for the Federal Circuit (CAFC); ,
"Canceled matter, before papers executed",,,,,,602.08(b); 
"Canceled matter, cannot be recaptured in reissue",,,,,,1412.02; 
"Canceled matter, Restoring",,,,,,608.01(s); 
Canceled matter in patented file,,,,,,901.01; 
Canceling claim after issue,,,,,,714.16; 
Canceling claims not appealed,,,,,,1214.05; 
Canceling drawing,,,,,,608.02(t); 
Cancellation of drawing figures,,,,,,608.02(t); 
"Candor, Duty of",,,,,Duty of candor and good faith; ,2001; 2001.03; 
"Carbon copy, application papers",,,,,,608.01; 
Carbon copy of amendment,,,,,,714.07; 
Card catalog in library,,,,,,901.06(a); 
"Caricatures, Offensive",,,,,,608; 1504.01(e); 
Catalog and circulars,,,,,,901.06(a); 
Central Facsimile Number,,,,,,502; 502.01; 
Central Reexamination Unit CRU,,,,,Office of Patent Legal Administration (OPLA); ,103; 1002.02(c)(4); 2212.01; 2224; 2227; 2229; 2231; 2233; 2235; 2237; 2239; 2240; 2242; 2245; 2249; 2258.01; 2262; 2265; 2267; 2270; 2271.01; 2274; 2281; 2283; 2287; 2289; 2294; 2295; 2624; 2634; 2636; 2646; 2647; 2647.01; 2648; 2660; 2662; 2664; 2666.06; 2667; 2670; 2671; 2671.01; 2671.02; 2671.03; 2674; 2679; 2682; 2686.01; 2686.03; 2686.04; 2687; 2687.01; 2689; 2694; 2812; 
"Certificate, derivation",,,,,,901.04; 
Certificate effect of signature,,,,,,402.03; 410; 
"Certificate,",,,,,,2288; 
"Certificate,",Format,,,,,2290; 
"Certificate,",,,,,,2688; 2690; 2694; 
"Certificate,",Distribution,,,,,2692; 
"Certificate,",Format,,,,,2690; 
"Certificate,",Reissue patent as,,,,,2688; 2694; 
"Certificate,",,,,,,901.04; 
Certificate of correction,,,,,,1480; 1485; 
Certificate of correction,Applicant’s mistake,,,,,1481; 
Certificate of correction,Assignee’s name,,,,,307; 1481.01; 
Certificate of correction,Branch,,,,,1002.02(l); 
