Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
D-10 notice,,,,,,130; 1304.01; 
"Damage, Proof of irreparable",,,,,,409.03(g); 
Databases,,,,,Electronic databases; ,
Date,,,,,,
Date,Amendment,,,,,505; 511; 512; 710.01(a); 710.05; 714.18; 
Date,Citation of foreign patent,,,,,901.05(a); 901.05(b); 
Date,Convention,,,,,213.01; 
Date,Filing,,,,,211.02; 502; 503; 505; 506; 506.02; 1002.02(b); 
Date,Filing,of EFS-Web transmissions,,,,502.05; 
Date,"Filing, Refusal to accord",,,,,506.02; 
Date,Foreign application priority,,,,,210; 213; 217; 
Date,Invention,,,,,2137; 2138; 
Date,Maintenance fees due,,,,,2506; 
Date,Office action,,,,,707.11; 
Date,Office stamp,,,,,502; 505; 506; 512; 714.18; 
Date,Reference,,,,,706.02; 707.05(e); 715; 715.01; 715.01(c); 
Date of execution of oath,,,,,,602.03; 
Death of attorney,,,,,,406; 
Death of inventor,,,,,Administrator or executor; ,409; 409.01(a); 409.01(b); 
Deceased inventor,,,,,,
Deceased inventor,Allowance not withdrawn,,,,,1303.03; 
Deceased inventor,Legal representative as applicant,,,,,409.01(a); 409.01(b); 1806; 
Deceased inventor,Legal representative as applicant,Proof of authority of,,,,409.01(b); 
Deceased inventor,Legal representative refuses to sign,,,,,409.03(c); 
Deceptive intent,,,,,Fraud; Inequitable conduct; ,
Deceptive intent,Foreign filing licenses,,,,,140; 
Deceptive intent,Inventorship,,,,,602.01(c); 
Deceptive intent,Reissue,,,,,1401; 1412.02; 1412.03; 1412.04; 1414; 1414.02; 1414.03; 1444; 1448; 1451; 1457; 1481.02; 1490; 2012; 
Decision,,,,,,
Decision,By Patent Trial and Appeal Board,,,,,1213; 1302.14; 
Decision,By Patent Trial and Appeal Board,Dissemination of,,,,1720; 
Decision,By Patent Trial and Appeal Board,,,,,2277; 
Decision,By Patent Trial and Appeal Board,,,,,2681; 2682; 
Decision,By Patent Trial and Appeal Board,Reconsideration of,,,,1214.03; 
Decision,By Patent Trial and Appeal Board,Treatment of,,,,1721; 
Decision,Citation,,,,,707.06; 
Decision,Denying,,,,,2247; 
Decision,,,,,,2240; 
Decision,Governs examiner’s action,,,,,; 
Decision,Listed,,,,,II; 
Decision,Ordering,,,,,2246; 
Decision,Ordering,,,,"Reexamination, Inter partes: Decision on the request for reexamination; ",
Decision,Public availability,,,,,103; 
Decision,Publication of,,,,,707.06; 
Declaration,,,,,Oath; ,602; 
Declaration,Amendment,,,,,602.01; 
Declaration,Attached to specification,,,,,602; 602.08(c); 
Declaration,Change of inventorship,,,,,602.01(c); 
Declaration,"Copies, filing of",,,,,602; 
Declaration,Copies from prior application,,,,,201.06(c); 
Declaration,Date of execution,,,,,602.03; 
Declaration,Defective,,,,,602.03; 
Declaration,Delayed filing,,,,,506; 601.01(a); 
Declaration,Executed before alterations made,,,,,602.08(b); 
Declaration,Facsimile transmission,,,,,502.01; 602; 
Declaration,Foreign priority applications listed,,,,,202; 214; 
Declaration,International application,,,,,1820; 1893.01; 1893.01(a); 1893.01(a)(1); 1893.01(a)(2); 1893.01(a)(3); 1893.01(e); 1893.03(a); 1893.03(b); 1893.03(g); 1895; 
Declaration,Inventor refuses to sign or cannot be found,,,,,602.08(b); 
Declaration,"Minor, by",,,,,409; 
Declaration,Non-English,,,,,602.06; 
Declaration,Plant patent application,,,,,1604; 
Declaration,Refers to preliminary amendment,,,,,601.01(a); 602.01(b); 
Declaration,Reissue application,,,,,706.03(x); 1410.01; 1414; 1414.01; 1414.03; 1444; 1451; 1455; 
Declaration,Signed before alteration,,,,,602.08; 
Declaration,Substitute,,,,,602.02; 
"Declarations, conflicting",,,,,,602.01(c); 
Dedication to the public,,,,,,715; 1490; 
Defective oath,,,,,,602.03; 
Defective oath,In reissue application,,,,,1414; 1414.03; 
"Defects, correction of, in request for",,,,,,2227; 2231; 
"Defense, applications affecting",,,,,,115; 120; 130; 140; 
Defensive publication citation,,,,,,711.06(a); 
Defensive publication program,,,,,,711.06; 
Deferral of examination,,,,,,709; 
Definition of class,,,,,,902.02; 
Delegation of Director’s authority,,,,,,1001.01; 1002; 1002.02; 
Demonstration at interview,,,,,,713.08; 
Denial of request for reexamination,,,,,,2247; 2247.01; 2647; 2647.01; 
Department of Energy DOE,,,,,,115; 140; 150; 151; 706.03(b); 
Dependent claim,,,,,,608.01(n); 
Dependent claim,Objected to when base claim is canceled,,,,,608.01(n); 707.07(j); 
Dependent claim,Reissue,,,,,1402; 1412.03; 1415; 1453; 1455; 
Dependent claim,Treatment in,,,,,2660.03; 
"Dependent claim, objected to when improper",,,,,,608.01(n); 706.01; 
Deposit account,,,,,,509.01; 
Deposit account,Authorizations,,,,,509.01; 1302.04; 
Deposit account,Extensions of time,,,,,706.07(f); 
Deposit account,International applications,,,,,1850; 1875.01; 
Deposit account,Issue fee,,,,,1303; 1306; 1308.01; 
Deposit account,Maintenance fee,,,,,2510; 2515; 2522; 
Deposit account,Overdrawn,,,,,509.01; 
Deposit account,Petition fee,,,,,711.03(c); 
Deposit account,Refunds,,,,,509; 509.01; 607.02; 
Deposit account,Replenishment,,,,,509.01; 1730; 
Deposit account,Replenishment,Mailing address,,,,501; 
Deposit Account Division,,,,,,509.01; 
Deposit of microorganisms,,,,,Biotechnology; ,1605; 1823.01; 2402; 2411.05; 
Deposit of correspondence,,,,,,502; 
Depositions,,,,,,
Depositions,Evidence,,,,,1901.02; 2013; 
Depositions,Of examiner,,,,,1701.01; 
Deposit rules,,,,,Biotechnology; ,2400; 
Deposit rules,Acceptable depository,,,,,2405; 
Deposit rules,"Biological material, definition",,,,,2402; 2403; 
Deposit rules,"Biological material, made or isolated without undue experimentation",,,,,2404.02; 
Deposit rules,Budapest Treaty,,,,Treaties; ,2402; 
Deposit rules,Budapest Treaty depositories,,,,,2405; 
Deposit rules,"Depositories, Current list of Budapest Treaty",,,,,2405; 
Deposit rules,Examination procedures,,,,,2411; 2411.01; 
Deposit rules,Examination procedures,After grant,,,,2407.02; 
Deposit rules,Examination procedures,Application in condition for allowance except for deposit,,,,2411.03; 
Deposit rules,Examination procedures,Certificate of correction,,,,2407.02; 
Deposit rules,Examination procedures,Content of application regarding deposited material,,,,2411.05; 
Deposit rules,Examination procedures,Need for 37 CFR 1.312 amendment,,,,2411.03; 
Deposit rules,Examination procedures,Reissue,,,,2407.02; 
Deposit rules,Examination procedures,Rejections based on deposit issue,,,,2411.01; 
Deposit rules,Examination procedures,Responses from applicant,,,,2411.02; 
Deposit rules,Furnishing of samples,,,,,2410; 
Deposit rules,Furnishing of samples,Access to deposits,,,,2410.01; 
Deposit rules,Furnishing of samples,Certification of availability of deposit,,,,2410.02; 
Deposit rules,Furnishing of samples,Conditions of deposit,,,,2410.01; 
Deposit rules,Furnishing of samples,Exception to removal of restrictions,,,,2410.01; 
Deposit rules,Furnishing of samples,Restrictions removed upon grant,,,,2410.01; 
Deposit rules,Known and readily available biological material,,,,,2404.01; 
Deposit rules,Known and readily available biological material,Budapest Treaty deposit,,,,2404.01; 
Deposit rules,Known and readily available biological material,Continuity of access,,,,2404.01; 
Deposit rules,Known and readily available biological material,Deposits certified as available,,,,2404.01; 2410.02; 
Deposit rules,Known and readily available biological material,"Health, safety restrictions",,,,2404.01; 
Deposit rules,Known and readily available biological material,Indicia of “known and readily available”,,,,2404.01; 
Deposit rules,Material capable of self-replication,,,,,2403.01; 
Deposit rules,Material capable of self-replication,Direct self-replication,,,,2403.01; 
Deposit rules,Material capable of self-replication,Indirect self-replication,,,,2403.01; 
Deposit rules,Need for a deposit,,,,,2402; 2403; 2404; 
Deposit rules,Non-Budapest Treaty deposit,,,,,2404.01; 
Deposit rules,Plant material,,,,,2403.02; 
Deposit rules,"Plant Patent Act, Relation to",,,,,2403.02; 
Deposit rules,Reference to deposit in application,,,,,2404; 2404.03; 
Deposit rules,Reference to deposit in application,"Implication, presumption",,,,2404; 2404.03; 
Deposit rules,Reference to deposit in application,Requirements of 35 U.S.C. 112,,,,2163; 2164.06(a); 2404; 2404.03; 
Deposit rules,Replacement or supplement of deposit,,,,,2407; 
Deposit rules,Replacement or supplement of deposit,After a patent has issued,,,,2407.02; 
Deposit rules,Replacement or supplement of deposit,Exemption from replacement,,,,2407.05; 
Deposit rules,Replacement or supplement of deposit,Failure to replace,,,,2407.03; 
Deposit rules,Replacement or supplement of deposit,In a pending application,,,,2407.01; 
Deposit rules,Replacement or supplement of deposit,Reason for replacement,,,,2407.04; 
Deposit rules,Replacement or supplement of deposit,Replacement not recognized,,,,2407.06; 
Deposit rules,Replacement or supplement of deposit,Request for certificate of correction,,,,2407.02; 
Deposit rules,Replacement or supplement of deposit,"Treatment of replacement, presumption of identity",,,,2407.04; 
Deposit rules,Seeds,,,,,2403.02; 
Deposit rules,Term of deposit,,,,,2408; 
Deposit rules,Term of deposit,Budapest Treaty term,,,,2408; 
Deposit rules,Term of deposit,Enforceable life of patent,,,,2408; 
Deposit rules,Time for making original deposit,,,,,2406; 
Deposit rules,Time for making original deposit,Assurance regarding deposit before payment of issue fee,,,,2406; 2411.03; 
Deposit rules,Time for making original deposit,Corroboration,,,,2406.02; 
Deposit rules,Time for making original deposit,Description in application specification,,,,2406.01; 
Deposit rules,Time for making original deposit,During application pendency,,,,2406; 
Deposit rules,Time for making original deposit,Loss of U.S. filing date in other countries,,,,2406; 2406.03; 
Deposit rules,Time for making original deposit,New matter,,,,2406.01; 
Deposit rules,Time for making original deposit,Patent Cooperation Treaty applications,,,,1823.01; 
Deposit rules,Time for making original deposit,Post-issuance deposits,,,,2406; 
Deposit rules,Time for making original deposit,Viability of deposit,,,,2409; 
Deposit rules,Time for making original deposit,Viability statement,,,,2409; 
Deposit rules,35 U.S.C. 112 requirements,,,,,2402; 2403; 2404; 
Deputy Director of Patents and Trademarks,,,,,,1002.02(o); 1202; 
Derivation proceedings,,,,,,2310; 
Derivation proceedings,Action once instituted,,,,,2313; 
Derivation proceedings,Action after decision,,,,,2315; 
Derivation proceedings,Board action,,,,,2314; 
Derivation proceedings,Certificate,,,,,901.04; 
Derivation proceedings,Definition,,,,,2310.02; 
Derivation proceedings,Jurisdiction,,,,,2312; 
Derivation proceedings,Statutory basis,,,,,2310.01; 
Derivation proceedings,Technology Center practice specialist,,,,,2311; 2315; 
Derogatory remark regarding prior art,,,,,,608.01(r); 
Description,,,,,,
Description,Basis for claim,,,,,608.01(o); 706.03(c); 2161; 2163; 
Description,Computer programming,,,,,2161.01; 
Description,Detailed,,,,,608.01(g); 
Description,International application,,,,,1823; 
Design application,,,,,,1500; 
Design application,Analogous art,,,,,1504.02; 1504.03; 
Design application,Anticipation,,,,,1504.02; 
Design application,"Application, elements of",,,,,1503; 
Design application,"Articles, design comprising multiple",,,,,1504.01(b); 
Design application,“Average observer” test,,,,,1504.02; 
Design application,Benefit under 35 U.S.C. 120,,,,,211.01(a); 211.01(b); 1504.20; 
Design application,Benelux Designs Convention,,,,Treaties; ,213.01; 1504.10; 
Design application,Characteristic feature,,,,,1503.01; 1504.01(a); 
Design application,Claim,,,,,1503; 1503.01; 
Design application,Combining references,,,,,1504.03; 
Design application,Commercial success,,,,,1504.03; 
Design application,Computer generated icons,,,,,1504.01(a); 
Design application,Continuation application,,,,,1504.20; 
Design application,Continuation-in-part CIP application,,,,,1504.20; 
Design application,Continued Prosecution Application CPA,,,,,1502.01; 
Design application,"Convention, International",,,,,213.01; 1504.10; 
Design application,Copending applications,,,,,1504.06; 1504.20; 
Design application,"Copying, evidence of, to rebut obviousness",,,,,1504.03; 
Design application,"Copyright, Relationship to",,,,,1512; 
Design application,Definition,,,,,1502; 
Design application,Description,,,,,1503; 1503.01; 
Design application,Disclaimer,,,,,1503.01; 1503.02; 1504.04; 
Design application,Disclosure,,,,,1503.01; 1503.02; 1504.04; 
Design application,Divisional application,,,,,201.06; 1504.20; 
Design application,Double patenting,,,,,804; 1504.06; 
Design application,Drawing,,,,,1503; 1503.01; 1503.02; 1504.04; 
Design application,Drawing,Broken lines,,,,1503.01; 1503.02; 1504.04; 
