Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
Easily erasable paper,,,,,,608.01; 714.07; 
Effective date of reference patent,,,,,,706.02; 706.02(a); 707.05(e); 715; 901.05(b); 
Effective filing date,,,,,,
Effective filing date,Claimed invention,,,,,2152.01; 
Effective filing date,Continuing application,,,,,211.02; 706.02; 708; 
Effective filing date,Continuation-in-part,,,,,2133.01; 2135.01; 2159.02; 
Effective filing date,Foreign priority effect,,,,,706.02; 
Effective filing date,International convention,,,,Foreign application; Treaties; ,213.01; 
Effective filing date,Provisional application,,,,,706.02; 
Effective filing date,Publication,,,,,715.01(c); 
Eighteen-month publication,,,,,Pre-Grant Publication (PG-Pub); ,
Election,,,,,Restriction; Election of species; ,800; 
Election,Action on nonelected claims,,,,,819; 
Election,After multiplicity rejection,,,,,2173.05(n); 
Election,After restriction,,,,,818; 
Election,"Between applications, Conflicting claims",,,,,804; 822; 
Election,Constructive,,,,,818.02(a); 818.02(c); 
Election,Constructive,In reissue application,,,,1440; 1450; 1457; 
Election,Fixed by action on merits,,,,,818.01; 818.02(a); 
Election,Implied,,,,,818.02(a); 818.02(c); 
Election,Interference,,,,,819; 
Election,Optional cancellation,,,,,818.02(c); 
Election,Original presentation,,,,,818.02(a); 
Election,Shift,,,,,819; 
Election,Treatment of nonelected claims,,,,,706.03(m); 821; 821.03; 
Election,Treatment of nonelected claims,In reissue application,,,,1450; 
Election,With traverse,,,,,818; 821.01; 
Election,Without traverse,,,,,821.02; 
Election of species,,,,,,
Election of species,Allowable generic claim lacking,,,,,809.02(a); 
Election of species,Basis,,,,,806.04; 808.01(a); 
Election of species,Canceling species claims,,,,,818.02(c); 821.01; 821.02; 
Election of species,Design application,,,,,1504.05; 
Election of species,Implied,,,,,818.02(a); 818.02(c); 
Election of species,Reissue application,,,,,1450; 
Election of species,Requirement,,,,,806.01; 809.02(a); 
Election of species,"Requirement, prior to search",,,,,808.01(a); 
Election of species,Species claims lacking,,,,,806.01; 818.02(b); 
Electronic access to published applications,,,,,,1128; 
Electronic databases,,,,,PALM; PAIR; ,707.05(e); 719.05; 901.06(a); 902.03(e); 1730; 
Electronic databases,Chemical abstracts services,,,,,901.05; 901.07; 
Electronic databases,Derwent’s World Patents Index WPI,,,,,901.05; 901.07; 
Electronic databases,Dialog,,,,,719.05; 901.07; 
Electronic databases,e-,,,,,1703; 
Electronic databases,EAST,,,,,719.05; 902.03(e); 
Electronic databases,Full-text and full-page images of U.S. patent related databases,,,,,1730; 
Electronic databases,International Patent Documentation Center INPADOC,,,,,901.05; 901.07; 
Electronic databases,Lexis-Nexis,,,,,719.05; 
Electronic databases,,,,,,1703; 
Electronic databases,Patent Grants Database,,,,,1703; 1730; 
Electronic databases,Questel-Orbit,,,,,719.05; 901.07; 
Electronic databases,TESS Trademark Electronic Search System,,,,,1703; 1730; 
Electronic databases,WEST,,,,,719.05; 902.03(e); 
Electronic Business Center EBC,,,,,,1730; 
Electronic document,,,,,,707.05(e); 
