Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
Facsimile transmission,,,,,,
Facsimile transmission,Assignment documents,,,,,302.09; 502.01; 
Facsimile transmission,Central Number,,,,,502; 502.01; 
Facsimile transmission,Correspondence,,,,,502.01; 
Facsimile transmission,Declaration or oath,,,,,502.01; 
Facsimile transmission,PCT international application,,,,,1805; 1834.01; 1865; 1893.01(a)(1); 
Facsimile transmission,Maintenance fees,,,,,2510; 
Facsimile transmission,Permitted types of correspondence,,,,,502.01; 
Facsimile transmission,Prohibited types of correspondence,,,,,502.01; 
Facsimile transmission,Reexamination,,,,,
Facsimile transmission,Reexamination,,,,,2224; 
Facsimile transmission,Reexamination,,,,,2624; 
Facsimile transmission,"Secrecy order application, not permitted",,,,,120; 502.01; 
Facsimile transmission,Supplemental examination,,,,,2806; 
Federal Circuit,,,,,Court of Appeals for the Federal Circuit (CAFC); ,
Federal holiday,,,,,,
Federal holiday,Abandonment date,,,,,711.03(c); 
Federal holiday,Appeal brief,,,,,1205.01; 2274; 
Federal holiday,Civil action,,,,,1216; 
Federal holiday,Continuity between applications,,,,,211.01(b); 
Federal holiday,Effect on Mail Express Service,,,,,513; 
Federal holiday,Effect on reference,,,,,706.02(a); 
Federal holiday,Filing date,,,,,502; 502.01; 502.05; 505; 512; 513; 
Federal holiday,Foreign application copendency,,,,,213; 
Federal holiday,Foreign patent,,,,,2135; 2135.01; 
Federal holiday,Maintenance fees,,,,,2504; 2506; 
Federal holiday,Papers not received,,,,,502; 503; 
Federal holiday,Period for reply ending on,,,,,505; 710.05; 
Federal holiday,Prior art effective date,,,,,706.02(a); 
Federal holiday,Provisional application copendency,,,,,201.04; 
Federal holiday,PTO business hours,,,,,510; 
Federal holiday,Reply period,,,,,710.05; 
Federal holiday,Statutory bar,,,,,2133; 2152.02 ; 2153.01; 2153.02; 
Federal holiday,Statutory period,,,,,710.01(a); 
Federal holiday,Unscheduled closings,,,,,213.03; 
Federal license rights,,,,,,310; 
Federal Rules of Civil Procedure,,,,,,
Federal Rules of Civil Procedure,Rule 8b cited,,,,,410; 
Federal Rules of Civil Procedure,Rule 11b,,,,,
Federal Rules of Civil Procedure,Rule 11b,Cited,,,,402.03; 410; 
Federal Rules of Civil Procedure,Rule 11b,Reproduced,,,,410; 
Fee,,,,,Refunds; ,
Fee,Address,,,,,2540; 
Fee,Appeal,,,,,1204; 
Fee,Appeal forwarding fee,,,,,1208.01; 
Fee,Assignment recording,,,,,302.06; 
Fee,Credit card payment of,,,,,509; 706.07(f); 
Fee,Current amounts available on USPTO Web site,,,,,509; 1730; 
Fee,Document size,,,,,2810.01; 
Fee,Electronic copy of sequence listing,,,,,2435; 
Fee,Examiner’s amendment,,,,,706.07(f); 
Fee,Extensions of time,,,,,706.07(f); 
Fee,Filing,,,,,509; 607; 
Fee,Filing,Claims in excess of,,,,607; 
Fee,Filing,Dependent claims,,,,608.01(n); 
Fee,Filing,Deposit account,,,,509.01; 
Fee,Filing,Inadequate,,,,509; 
Fee,Filing,International application,,,,1805; 1810; 1827; 
Fee,Filing,International application,Basic national fee for national stage entry,,,502.01; 502.05; 509.03; 512; 1834.01; 1893.01(a); 1893.01(a)(1); 1893.01(c); 1893.02; 
Fee,Filing,Micro entity status,,,,509.04; 
Fee,Filing,Non-electronic,,,,607; 
Fee,Filing,Nonprovisional application,,,,601.01(a); 
Fee,Filing,Provisional application,,,,601.01(b); 
Fee,Filing,Reduction for micro entities,,,,509.04; 
Fee,Filing,Reduction for small entities,,,,509.02; 
Fee,Filing,Reexamination,,,,
Fee,Filing,Reexamination,,,,2215; 
Fee,Filing,Reissue,,,,1415; 
