Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
PAIR,,,,,,102; 104; 203.08; 1121; 1128; 1730; 2206; 2209; 2232; 2232.01; 2257; 2264; 2290; 2632; 
PALM,,,,,,101; 102; 711.04(b); 1704; 1705; 1845.02; 1893; 1893.03(a); 1893.03(b); 1895.01; 2229; 2232.01; 2235; 2246; 2247; 2287; 2294; 2632; 2635; 2647.02; 2648; 2660; 2664; 2670; 2687; 2689; 
PALM,Application location,,,,,2635; 
PALM,Application records and reports,,,,,1704; 
PALM,Application status,,,,,102; 
PALM,"Examiner Docket, Time, and Activity Reports",,,,,1704; 1705; 
PALM,“Flag” in reissue application,,,,,1456; 
Panel Review in,,,,,,2236; 2246; 2247; 2262; 2271; 2271.01; 2275; 2281; 2287; 2289; 
"Paper, easily erasable",,,,,,608.01; 714.07; 
Paper number,,,,,,714.18; 714.21; 
Paper size,,,,,A4 size paper; ,
Paper size,Application papers,,,,,608.01; 
Paper size,Drawings,,,,,608.02; 
Paper size,Photographs,,,,,608.02; 
Paper size,Substitute drawings,,,,,608.02(h); 
Papers,,,,,Return of Papers; ,
Papers,Depositing,,,,,502; 
Papers,Distribution,,,,,508; 
Papers,File wrapper,,,,,719.01; 
Papers,Identification,,,,,502; 503; 
Papers,Receipt and handling,,,,,500; 
Papers,Received after patenting or abandonment,,,,,508.02; 
Papers,Signature required,,,,,402; 
Papers,Submitted in reissue litigation,,,,,1404; 
"Parent application data, Cross-noting",,,,,,202; 211; 
Parent application review,,,,,,707.05; 719.05; 904; 2001.06(b); 
Paris Convention,,,,,Treaties; ,213.01; 
Paris Convention,Article 4 Cited,,,,,213.01; 213.03; 213.06; 215.03; 
Partial signatory authority,,,,,,1005; 
Patent,,,,,,
Patent,1836 present series,,,,,901.04; 
Patent,A.I. series,,,,,901.04; 
Patent,Allowance and issue,,,,,1300; 
Patent,Application publication,,,,,1120; 1135; 
Patent,Arrangement in Examiner’s Search Files,,,,,901.07; 
Patent,Assignment,,,,,301; 
Patent,Citation handling,,,,,1920; 
Patent,Citation of prior art in,,,,,1920; 2202; 
Patent,Claim copied,,,,Claim presented corresponding to claim of patent; ,
Patent,Classification change,,,,,903.05; 
Patent,Classification indices,,,,,902.03; 902.03(a); 
Patent,Classification Home Page on the Internet,,,,,902.03(a); 
Patent,Classification Home Page on the USPTO Intranet,,,,,902.03(b); 
Patent,Copy in,,,,,2219; 
Patent,Copy in,Double column format,,,,2214; 2219; 
Patent,Copy Orders,,,,,1730; 
Patent,Correction of,,,,,1400; 
Patent,Definition,,,,,; 2135.01; 
Patent,Design,,,,,1500; 
Patent,Design series,,,,,901.04; 
Patent,Design vs Utility,,,,,1502.01; 
Patent,Effective date,,,,,706.02(a); 715; 715.01; 2126; 2133.01; 2136.03; 2152.02(a); 2154.01(b); 
Patent,Extension,,,,"Term, Patent; ",
Patent,File reconstruction,,,,,508.04; 
Patent,Files,,,,,901.01(a); 
Patent,Foreign,,,,Foreign patent; ,
Patent,"General Information About, booklet",,,,,703; 
Patent,Issue,,,,,1300; 
Patent,Issue Notification form,,,,,1306.03; 
Patent,Index,,,,,902.03(b); 
Patent,Interference,,,,,2304; 2304.05; 
Patent,Inventorship,,,,,2137.01; 2157; 
Patent,Jurisdiction,,,,,1305; 
Patent,"Law, opinions not given",,,,,713.02; 
Patent,Laws,,,,Statutes; ,
Patent,Licensing,,,,,301; 
Patent,Litigation relating to reissue,,,,,1442.04; 
Patent,Ordering electronic copy of sequence listing,,,,,2435; 
Patent,Ordering soft copy,,,,,
Patent,"Owner, appeal by",,,,,1204; 
Patent,"Owner, service of citation on",,,,,2208; 
Patent,Owner’s address in reexamination,,,,,2222; 2622; 
Patent,Ownership,,,,,301; 
Patent,Plant series,,,,,901.04; 1600; 
Patent,Post-issuance information updating,,,,,2501; 
Patent,Prior art citation in,,,,,2003.01; 
Patent,Printing priority,,,,,1309; 
Patent,Publication of application,,,,,1120; 1135; 
Patent,Reconstruction of file,,,,,508.04; 
Patent,Reference,,,,Reference; ,
Patent,Reissue series,,,,,901.04; 
Patent,"Reissued, effect of",,,,,1460; 
Patent,Right to exclude others,,,,,509.02; 1111; 1601; 2162; 2173.02; 
Patent,Rules,,,,"Rules, Patent (Code of Federal Regulations); ",
Patent,Simultaneous issue,,,,,1306.02; 
Patent,Statutory subject matter,,,,,706.03(a); 2104; 2107.03; 
Patent,Surrender of original in reissue not required,,,,,1416; 
Patent,Statutes,,,,Statutes; ,
Patent,"System, Constitutional basis for",,,,,; 
Patent,Term adjustment,,,,,2710; 2736; 
Patent,Terms,,,,"Term, Patent; ",
Patent,Transfer,,,,,903.05; 
Patent,Transfer of rights in,,,,,509.02; 
Patent,"Type, Design vs utility",,,,,1502.01; 
Patent,Utility series,,,,,901.04; 1502.01; 
Patent,Utility vs design,,,,,1502.01; 
Patent,X series,,,,,901.04; 
Patent and Trademark Assignment System,,,,,,302.09; 302.10; 
Patent and Trademark Office PTO or USPTO,,,,,,
Patent and Trademark Office PTO or USPTO,Address,,,,,501; 502; 
Patent and Trademark Office PTO or USPTO,Business hours,,,,,510; 
Patent and Trademark Office PTO or USPTO,"Employees, property interest in patent",,,,,309; 
Patent and Trademark Office PTO or USPTO,"Employees, unavailable to sign oath or declaration as inventors",,,,,409; 
Patent and Trademark Office PTO or USPTO,Matters decided by various officials,,,,,1000; 
Patent and Trademark Office PTO or USPTO,Publications,,,,,; 
Patent and Trademark Office PTO or USPTO,Publications,Attorneys and Agents Registered to Practice Before the United States Patent and Trademark Office,,,,401; 
Patent and Trademark Office PTO or USPTO,Publications,Development and Use of U.S. Patent Classification Systems,,,,903.02; 
Patent and Trademark Office PTO or USPTO,Publications,Official Gazette of the United States Patent and Trademark Office,,,"
                                       Official Gazette (O.G. )
                                    ; ",
Patent and Trademark Office PTO or USPTO,Receipt and handling of mail,,,,,500; 
Patent and Trademark Office PTO or USPTO,Telephone numbers,,,,,1730; 
Patent and Trademark Office PTO or USPTO,Web site,,,,,1730; 
Patent Appeal Center,,,,,,1203; 
Patent Assistance Center,,,,,Inventors Assistance Center; ,
Patent attorney or agent,,,,,Attorney or agent; ,
Patent classification in USPC,,,,,Classification; Prior Art; ,900; 
Patent classification in USPC,Classes,,,,,707.05(e); 902.01; 902.02; 903.02(b); 
Patent classification in USPC,Cross references,,,,,903.07; 903.07(a); 
Patent classification in USPC,Digests,,,,,903.07; 
Patent classification in USPC,Issue slip,,,,,903.07; 
Patent classification in USPC,Manual of Classification for USPC,,,,,; 902.01; 
Patent classification in USPC,Master classification file MCF,,,,,902.03(a); 
Patent classification in USPC,Post classifier,,,,Post classifier; ,
Patent classification in USPC,Shoes,,,,,901.05(c); 901.07; 
Patent classification in USPC,Statutory authority,,,,,903.01; 
Patent classification in USPC,Subclasses,,,,,707.05(e); 902.01; 902.02; 
Patent Cooperation Treaty PCT,,,,,International application; Treaties; ,1800; T; 
Patent Cooperation Treaty PCT,Administrative Instructions,,,,,AI; 
Patent Cooperation Treaty PCT,Agent,,,,,1807; 
Patent Cooperation Treaty PCT,Amendment before the designated office,,,,,1893.01(a)(2); 1893.01(a)(3); 
Patent Cooperation Treaty PCT,Amendment of claims before the International Bureau,,,,,1853; 
Patent Cooperation Treaty PCT,Applicant,,,,,1806; 1821; 
Patent Cooperation Treaty PCT,Applicant for United States Receiving Office,,,,,1805; 1810; 1820; 
Patent Cooperation Treaty PCT,Basic flow timeline,,,,,1842; 
Patent Cooperation Treaty PCT,Classification of application,,,,,903.08(b); 
Patent Cooperation Treaty PCT,Classification of subject matter,,,,,1844.01; 1879; 
Patent Cooperation Treaty PCT,Common representative,,,,,1807; 
Patent Cooperation Treaty PCT,"Concepts, major",,,,,1801; 
Patent Cooperation Treaty PCT,Country codes,,,,,1851; 
Patent Cooperation Treaty PCT,Definitions,,,,,1802; 
Patent Cooperation Treaty PCT,Design patents,,,,,1503.01; 
Patent Cooperation Treaty PCT,Designated office,,,,,1893.01(a); 
Patent Cooperation Treaty PCT,Designation of states,,,,,1821; 
Patent Cooperation Treaty PCT,Fees,,,,,1827; 1893.01(c); 
Patent Cooperation Treaty PCT,Filing date requirements,,,,,502.05; 1810; 
Patent Cooperation Treaty PCT,Foreign filing license,,,,,1832; 
Patent Cooperation Treaty PCT,Foreign patent citation codes,,,,,1851; 
Patent Cooperation Treaty PCT,Forms,,,,,
Patent Cooperation Treaty PCT,Forms,IB/307,,,,1893.03(e); 
Patent Cooperation Treaty PCT,Forms,IB/308,,,,1893.01(a)(1); 
Patent Cooperation Treaty PCT,Forms,PCT/DO/EO/903,,,,1893.01(a)(3); 1893.03(a); 1893.03(b); 1893.03(e); 1893.03(g); 1895.01; 
Patent Cooperation Treaty PCT,Forms,PCT/DO/EO/905,,,,905; 1893.01(a)(1); 1893.01(d); 1893.01(e); 1893.03(b); 
Patent Cooperation Treaty PCT,Forms,PCT/ISA/203,,,,1843.04; 
Patent Cooperation Treaty PCT,Forms,PCT/ISA/206,,,,1850; 
Patent Cooperation Treaty PCT,Forms,PCT/ISA/210,,,,1843.04; 1844; 1844.01; 1845.01; 1845.02; 1893.03(e); 
Patent Cooperation Treaty PCT,Forms,PCT/ISA/217,,,,1836; 1844.01; 
Patent Cooperation Treaty PCT,Forms,PCT/ISA/220,,,,1844; 1845.02; 
Patent Cooperation Treaty PCT,Forms,PCT/ISA/237,,,,1843.04; 1844; 1845.01; 1845.02; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/401,,,,1864; 1865; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/405,,,,1875; 1875.01; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/408,,,,1860; 1874; 1876; 1878; 1879; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/409,,,,1871; 1874; 1878; 1878.01(a); 1879; 1893.03(e); 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/410,,,,1864.04; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/411,,,,1876; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/412,,,,1836; 1876.01; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/416,,,,1879; 1879.02; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/420,,,,1875.02; 
Patent Cooperation Treaty PCT,Forms,PCT/IPEA/428,,,,1878.02; 
Patent Cooperation Treaty PCT,Forms,PCT/RO/101,,,,1801; 1812; 1821; 1828; 1844.01; 
