Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
Ranges,,,,,,
Ranges,Anticipation of,,,,,2131.03; 
Ranges,Obviousness of,,,,,2144.05; 
Ratification of papers filed,,,,,,
Ratification of papers filed,Death of attorney,,,,,406; 
Ratification of papers filed,Death of inventor,,,,,409.01(a); 409.01(b); 
Ratification of papers filed,Signature improper or lacking,,,,,714.01(a); 
Real party in interest,,,,,,1205; 1207.02; 
Real party in interest,In,,,,,2202; 
Real party in interest,In,,,,,2677; 
Reasons for allowance,,,,,,1302.14; 
Reasons for allowance,Amendments after final rejection,,,,,714.13; 
Reasons for allowance,Appeal record,,,,,1213; 
Reasons for allowance,Applicant’s comments on,,,,,1302.14; 
Reasons for allowance,Claim narrowing,,,,,1302.14; 
Reasons for allowance,"Comments on,",,,,,2287; 
Reasons for allowance,"Comments on,",,,,,2687.01; 
Reasons for allowance,Estoppel effect,,,,,1302.14; 
Reasons for allowance,Failure of applicant to comment on,,,,,1302.14; 
Reasons for allowance,Patent Cooperation Treaty application,,,,,1845.01; 
Reasons for allowance,Presumption of acquiescence by applicant,,,,,1302.14; 
Reasons for allowance,Reexamination,,,,,
Reasons for allowance,Reexamination,,,,,2262; 2287; 
Reasons for allowance,Reexamination,,,,,2687; 
Rebuttal brief in,,,,,,2678; 2679; 
Rebuttal brief in,Refused entry,,,,,2679; 
Recapture,,,,,,
Recapture,Claimed subject matter,,,,,706.02(l)(1); 1412.02; 
Recapture,Matter in reissue,,,,,1412.02; 
Recapture,Of patent rights,,,,,
Recapture,Of patent rights,Disclaimed by filing a disclaimer,,,,1490; 
Recapture,Of patent rights,Waived when SIR published,,,,1111; 
Receipt of mail and papers,,,,,,500; 
Receipt of mail and papers,Depositing correspondence,,,,,502; 
Receipt of mail and papers,Entry of amendments,,,,,714.18; 
Receipt of mail and papers,Filing receipt,,,,,503; 
Receipt of mail and papers,Office date stamp,,,,,505; 
Receipt of mail and papers,Period for reply,,,,,710.01(a); 
Receiving Office PCT procedure,,,,,,1801; 
Receiving Office PCT procedure,International Bureau,,,,,1805; 
Reciprocal security agreements,,,,,,120; 
Reclassification,,,,,,
Reclassification,Patents,,,,,905.01(a)(3); 
Reconsideration in,,,,,,2269; 
Reconsideration of abandonment,,,,,,711.03; 711.03(c); 
Reconsideration of abandonment,Based on insufficient reply,,,,,711.03(a); 
Reconsideration of abandonment,Based on failure to reply within period,,,,,711.03(b); 
Record of interview,,,,,,713.01; 713.04; 
Record room,,,,,File Information Unit (Record Room); ,
Record system for reexamination,,,,,,
Record system for reexamination,,,,,,2235; 
Record system for reexamination,,,,,,2635; 
Recording assignment,,,,,,301; 302; 317; 
Recording change of business name,,,,,,314; 
Recording government interests,,,,,,302; 302.07; 
Recording of joint research agreement,,,,,,302; 302.07; 
Recording license agreement,,,,,,302.07; 313; 
Recording of other documents,,,,,,313; 317; 
Recording security interest,,,,,,313; 
Redacted publication of an application,,,,,,502.05; 1132; 
Reduction to practice,,,,,,715.07; 2133.03(c); 2133.03(e)(3); 2138.01; 2138.05; 2163; 
"Reexamination,",,,,,,2200; 
"Reexamination,",Access to file,,,,,103; 724.04(c); 2209; 2232; 
"Reexamination,",Action following Board decision,,,,,2278; 
"Reexamination,",Address of patent owner,,,,,2222; 
"Reexamination,",Admissions,,,,,2217; 2258; 
"Reexamination,",Affidavits,,,,,2205; 2216; 2217; 2258; 2265; 
"Reexamination,",After final practice,,,,,2272; 
"Reexamination,",Amendment,,,,,714; 2234; 2250; 2295; 
"Reexamination,",Amendment,Abstract,,,,2287; 
"Reexamination,",Amendment,After final rejection,,,,2272; 
"Reexamination,",Amendment,Examiner’s,,,,2287; 
"Reexamination,",Amendment,Filed with request,,,,2221; 
"Reexamination,",Amendment,Improper,,,,2250; 
"Reexamination,",Amendment,In a merged reissue/,,,,2285; 
"Reexamination,",Amendment,Prior reexamination certificate issued,,,,2250; 2295; 
"Reexamination,",Amendment,Provisions of Rule 1.312 do not apply,,,,2287; 
"Reexamination,",Amendment,Reissue patent issued,,,,2250; 
"Reexamination,",Ancillary issues,,,,,2217; 2258; 
"Reexamination,",Appeal,,,,,2273; 
"Reexamination,",Appeal brief,,,,,2274; 
"Reexamination,",Appeals to courts,,,,,1216; 1216.01; 2279; 
"Reexamination,",Application data sheet,,,,,2214; 2258.02; 2266; 
"Reexamination,",Application file location,,,,,2235; 
"Reexamination,",Assignment,,,,,301; 
"Reexamination,",Assignment,To an examiner,,,,2236; 2248; 2255; 2285; 
"Reexamination,",Attorney or agent,,,,,2213; 2222; 
"Reexamination,",Attorney or agent,Name on certificate,,,,2287; 
"Reexamination,",Basic characteristics,,,,,2209; 
"Reexamination,",Certificate of,,,,,2288; 2294; 
"Reexamination,",Certificate of,Reissue patent as,,,,2290; 2294; 
"Reexamination,",Certificate attached to patent copy,,,,,2292; 
"Reexamination,",Certificate distribution,,,,,2292; 
"Reexamination,",Certificate format,,,,,2290; 
