Topic,Subtopic1,Subtopic2,Subtopic3,Subtopic4,SeeAlso,MPEPLink
"Sale, On",,,,,On sale; ,
Sample letter on submission of prior art in patent,,,,,,2205; 
Sanctions,,,,,,410; 
"Saturday, effect on time for reply",,,,,,502; 502.01; 502.05; 505; 506.02; 510; 513; 710.05; 2504; 2506; 
Scientific and Technical Information Center STIC,,,,,,901.06(a); 
Scientific and Technical Information Center STIC,Biotechnology sequence listings,,,,,2421.03; 2429; 
Scientific and Technical Information Center STIC,Foreign patents,,,,,706.02(e); 901.05; 901.05(c); 903.03; 901.07; 
Scientific and Technical Information Center STIC,Hours,,,,,1730; 
Scientific and Technical Information Center STIC,Litigation search,,,,,2240; 2287; 2640; 2686.04; 
Scientific and Technical Information Center STIC,Literature collection,,,,,719.05; 901.06(a); 
Scientific and Technical Information Center STIC,Location and telephone number,,,,,1730; 
Scientific and Technical Information Center STIC,Translation assistance,,,,,901.05(d); 901.06(a); 
Scientific principle not patentable,,,,,,706.03(a); 
Scope of claims,,,,,,904.01(a); 2163.05; 2164.08; 
Scope of claims,Design application,,,,,1503.01; 1504.04; 1504.05; 1504.06; 
Scope of class,,,,,,903.02(b); 
Scope of reexamination,,,,,,
Scope of reexamination,,,,,,2258; 
Scope of reexamination,,,,,,2658; 
Screening new application for security review,,,,,,115; 706.03(b); 
Seal,,,,,,602; 
Seal,Not required,,,,,602; 
Seal,Venue,,,,,602; 
Search,,,,,,900; 
Search,After reversal by Patent Trial and Appeal Board ,,,,,1214.04; 
Search,Aids in Scientific and Technical Information Center STIC,,,,,901.06(a); 
Search,Analogous art areas,,,,,904.01(c); 
Search,Claim analysis,,,,,904.01; 
Search,Computer,,,,,719.05; 
Search,Databases,,,,Electronic databases; ,
Search,Electronic documents,,,,,707.05(e); 904.02(c); 
Search,"Fee, PCT",,,,,1827; 
Search,Field of,,,,,904.02; 904.02(a); 
Search,Field of,Not to be given for patented inventions,,,,1701; 
Search,File wrapper notation,,,,,719.05; 904; 
Search,Incomprehensible disclosure,,,,,702.01; 
Search,"In Technology Center, by member of public",,,,,713.02; 
Search,Informal application,,,,,702.01; 704.01; 
Search,INPADOC,,,,,901.06(a); 
Search,Interference,,,,,2304.01(a); 
Search,Internet,,,,,707.05(e); 904.02(c); 
Search,Notes in classification definitions,,,,,902.02(a); 905.01(a)(2); 
Search,Notes in file wrapper,,,,,705.01(a); 719.05; 903.07(a); 
Search,Online database,,,,Electronic databases; ,901.06(a); 902.03(e); 
Search,Outlining,,,,,904.02(a); 
Search,Patentability report,,,,,705.01(a); 705.01(b); 
Search,Prior examiner’s,,,,,704.01; 
Search,Procedure,,,,,704.01; 904; 
Search,References in classification definition,,,,,905.01(a)(1); 
Search,Requirements for information,,,,,704.11; 704.11(a); 
Search,Restriction requirement,,,,,808.02; 
Search,Scope,,,,,2112; 
Search,Selecting pertinent references,,,,,904.03; 
Search,Title,,,,,306; 
Search,Unduly extensive and burdensome,,,,,806.01; 808.01(a); 818.02(b); 
Search notes form OACS and PE2E-OC,,,,,,704.14(b); 705.01(a); 719.05; 
Search facility hours,,,,,,510; 1730; 
"Search tools, automated",,,,,,902.03(e); 
Searched box entries,,,,,,719.05; 
"Secrecy, in general",,,,,,101; 
Secrecy of international applications,,,,,,120; 
“Secrecy Order” application,,,,,,115; 120; 130; 
“Secrecy Order” application,After declassification,,,,,130; 
“Secrecy Order” application,Allowance,,,,,130; 
“Secrecy Order” application,Commodity Control List,,,,,120; 
“Secrecy Order” application,Correspondence,,,,,120; 
“Secrecy Order” application,Facsimile transmission of correspondence not permitted,,,,,120; 
“Secrecy Order” application,Final rejection,,,,,130; 
“Secrecy Order” application,Interference,,,,,130; 2306; 
“Secrecy Order” application,Petition for rescission or modification,,,,,120; 
“Secrecy Order” application,Prosecution,,,,,130; 
“Secrecy Order” application,Review,,,,,115; 140; 
“Secrecy Order” application,"Security, Application affecting",,,,,120; 121; 130; 140; 
Secret sale,,,,,On sale; ,
"Security interest in patent, recording",,,,,Assignment; ,313; 
Security markings,,,,,,121; 130; 140; 724; 
Security screening of new applications,,,,,,115; 140; 
"Security Working Group 3640, applications submitted",,,,,,121; 130; 706.03(b); 1002.02(c)(1); 
Self-addressed postcard,,,,,"Postcard, self-addressed; ",503; 
Sequence listing,,,,,Sequence rules; ,2422.01; 
Sequence listing,Database,,,,Sequence rules; ,
Sequence listing,EFS-Web submission,,,,,502.05; 2422.03(a); 
Sequence listing,Hand delivery,,,,,2422.09; 
Sequence listing,Pre-Grant Publications PG-Pub,,,,,1121; 
Sequence listing,Statements,,,,,2422.06; 2422.07; 
Sequence rules,,,,,Biotechnology; ,2400; 
Sequence rules,Amendments to sequence listing and computer readable form,,,,,2422.07; 2426; 
Sequence rules,Amino acid definition,,,,,2422.01; 
Sequence rules,AuthorIn,,,,,2430; 
Sequence rules,Changes to rules,,,,,2421.04; 
Sequence rules,"Coding regions, depiction of",,,,,2423.02; 
Sequence rules,Compliance requirement,,,,,2422.07; 2429; 
Sequence rules,Computer readable format requirement,,,,,502.05; 2421.01; 2422.04; 2425; 
Sequence rules,Database,,,,,2422.01; 2422.03; 2422.04; 2423.02; 2424.02; 2424.02; 2425; 2429; 2430; 
Sequence rules,Definitions for nucleotides/amino acids,,,,,2422.01; 
Sequence rules,"Definition of ""Sequence Listing"" and ""CRF""",,,,,2421.01; 
Sequence rules,Exclusive conformance requirement,,,,,2422.02; 
Sequence rules,Extensions of time,,,,,2421.03; 
Sequence rules,Format and symbols,,,,,2423; 2423.01; 
Sequence rules,Form paragraphs,,,,,2427; 
Sequence rules,Hand-delivery of sequence listings and computer readable forms,,,,,2422.09; 
Sequence rules,Helpful hints for compliance,,,,,2429; 
Sequence rules,Informational requirements for sequence listings,,,,,2424; 2424.01; 2424.02; 
Sequence rules,Mandatory information items,,,,,2424; 2424.02; 
Sequence rules,Minor errors,,,,,2427; 
Sequence rules,"Miscellaneous requirements, information",,,,,2424.03; 
Sequence rules,Notice to comply,,,,,2421.03; 
Sequence rules,Nucleotide definition,,,,,2422.01; 
Sequence rules,Numbering of sequences,,,,,2423.02; 
Sequence rules,Numeric identifiers,,,,,2424; 2424.02; 
Sequence rules,Official copy of sequence listing,,,,,2422.04; 
Sequence rules,PatentIn information,,,,,1730; 2430; 
Sequence rules,Presumptions regarding compliance,,,,,2422.08; 
Sequence rules,"Previously filed identical computer readable form, transfer request",,,,,2422.05; 
Sequence rules,Replacement of sequence listing and computer readable form,,,,,2422.07; 2426; 
Sequence rules,Sample sequence listing,,,,,2431; 
Sequence rules,Sanctions for failure to comply,,,,,2422.07; 
Sequence rules,Sequence identifier requirement,,,,,2422.01; 
Sequence rules,Sequence listing requirement,,,,,2422.01; 
Sequence rules,Sequence listing requirement,Patent Cooperation Treaty PCT,,,,1823.02; 1848; 2422; 2422.03(a); 2430; 
Sequence rules,Sequence presentation,,,,,2423.03; 
Sequence rules,Sequences embedded in application text,,,,,2422.01; 2423.02; 
Sequence rules,Sequences in drawings,,,,,2422.02; 
Sequence rules,Sequence listing transfer request,,,,,2422.05; 
Sequence rules,Statement regarding content of paper and computer readable copies,,,,,502.05; 2422.06; 2428; 
Sequence rules,Statement regarding new matter,,,,,2422.07; 2428; 
Sequence rules,Summary of requirements,,,,,2421.02; 
Sequence rules,Variants of a presented sequence,,,,,2422.01; 
Sequence rules,Voluntary compliance,,,,,2422.01; 
Sequence rules,"WIPO Standard ST. 25, Appendix 2 Tables",,,,,
Sequence rules,"WIPO Standard ST. 25, Appendix 2 Tables",Reproduced,,,,2422; 
Sequence rules,"WIPO Standard ST. 25, Appendix 2 Tables",Cited,,,,2422.01; 2423; 2423.01; 
"Sequences, restriction",,,,,,803.04; 2434; 
Series codes,,,,,,503; 
Series of dependent claims,,,,,,608.01(n); 
"Series, Patent",,,,,Patent; ,
"Service, proof of, in a petition for access",,,,,,103; 
Service of citation in patent,,,,,,1901; 
Service of court papers on Director,,,,,,1216; 
Service of patent owner statement on requestor in,,,,,,2249; 2266.03; 
Service of papers in,,,,,,2666.06; 
Service of papers in,Certificate of,,,,,2666.06; 
Service of papers in,Proof of service,,,,,2666.06; 2666.50; 2667; 
Service of papers in,To patent owner,,,,,2654; 2666.05; 
Service of papers in,To third party requestor,,,,,2654; 2666; 2666.05; 
Shift of election,,,,,,819; 
Shoes,,,,,Search; ,901.07; 
Shortened statutory period,,,,,Period for reply; Statutory period; ,710.02; 710.02(b); 
Shortened statutory period,Appeal,,,,,1205; 1214.06; 1215.04; 
Shortened statutory period,Date of abandonment,,,,,711.04(a); 
Shortened statutory period,Drawings,,,,,608.02(p); 608.02(x); 
Shortened statutory period,Extension of time,,,,,710.02(e); 1002.02(c); 
Shortened statutory period,Final rejection,,,,,706.07; 706.07(b); 706.07(f); 706.07(g); 714.13; 
Shortened statutory period,Informal application,,,,,702.01; 
Shortened statutory period,Information disclosure statement,,,,,609.04(b); 
Shortened statutory period,Quayle,,,,,714.14; 
Shortened statutory period,"Reexamination,",,,,,2250.01; 2263; 2265; 2272; 2273; 2285; 2286; 
Shortened statutory period,Time limits compared,,,,,710.02(d); 
"Signatory Authority, Full",,,,,,1004; 
"Signatory Authority, Partial",,,,,,1005; 
Signature,,,,,,
Signature,Alteration in specification signed,,,,,608.01; 
Signature,Amendment,,,,,714.01; 
Signature,Amendment,Signature improper,,,,714.01(a); 714.01(c); 714.01(d); 
Signature,Amendment,Signature missing,,,,714.01(a); 
Signature,Amendment,"Signed by applicant, not by attorney of record",,,,714.01(d); 
Signature,Amendment,Signed by attorney not of record,,,,403.01(b); 
Signature,Applicant,,,,,602.08(b); 
Signature,Applicant changes name,,,,,201.03; 605.01; 
Signature,"Applicant, international application",,,,,1820; 
Signature,Applicant unable to write,,,,,602.08(b); 
Signature,Application papers,,,,,602.08(b); 
Signature,Attorney or agent not of record,,,,,402.03; 
Signature,"Certification, effect of",,,,,401; 402.03; 410; 
Signature,Continued prosecution application,,,,,201.06(d); 
Signature,Correction of name,,,,,602.08(b); 
Signature,Express abandonment,,,,,711; 711.01; 
Signature,Facsimile,,,,,502.01; 502.02; 505; 511; 512; 
Signature,"Full, first or middle name",,,,,602.08(b); 
Signature,Required on every paper,,,,,402; 402.03; 
Signature,Title with,,,,,602.08(b); 
Signature,Uniformity with name,,,,,602.08(b); 
"Signing, continued prosecution application",,,,,,201.06(d); 
Signing examiner’s letter,,,,,,706.07; 707.08; 707.09; 
Signing file wrapper,,,,,,1302.13; 
Simulated tests in the specification,,,,,,608.01(p); 
Simultaneous issue of patents,,,,,,1306.02; 
Single means claim,,,,,,2164.08(a); 2173.05(g); 2181; 
Size of paper,,,,,A4 size paper; Paper size; ,
Sketch of subject matter of claims,,,,,,904.01(a); 
Small Business Act,,,,,,509.02; 
Small Business Administration,,,,,,509.02; 
Small entity status,,,,,Fee; ,
Small entity status,Change of status,,,,,509.03; 
Small entity status,Claiming status,,,,,509.03; 
Small entity status,Correcting status,,,,,509.03; 
Small entity status,Definition,,,,,509.02; 
Small entity status,Established in parent application,,,,,201.06(c); 
Small entity status,Fees,,,,,509.02; 
Small entity status,Government organizations,,,,,509.02; 
Small entity status,Improper payment,,,,,509.03; 
Small entity status,Independent inventor,,,,,509.02; 
Small entity status,Maintenance fees,,,,,509.03; 2515; 2531; 2550; 
Small entity status,Nonprofit organization,,,,,509.02; 509.03; 
Small entity status,Refund,,,,,509.03; 607.02; 
Small entity status,Small business concern,,,,,509.02; 
Small entity status,Statement verified,,,,,509.03; 
Small entity status,Transfer of invention rights,,,,,509.02; 509.04(a); 509.04(b); 
Solicitor’s Office,,,,,Office of Solicitor; ,
Sources of information to disclose,,,,,,2001.06; 
Special application,,,,,,708; 708.03; 
Special application,Accelerated examination,,,,,708.02; 
Special application,"Allowable application, except for form",,,,,707.07(j); 710.02(b); 714.14; 1301; 
Special application,Appealed application,,,,,1204; 
Special application,"Applicant’s age, health",,,,,708.02; 1002.02(b); 
Special application,Counter-terrorism inventions,,,,,708.02; 1002.02(s); 
Special application,Energy,,,,,708.02; 
Special application,Environmental Quality Program,,,,,1002.02(s); 
Special application,Five year pendency,,,,,707.02; 
Special application,List,,,,,708.01; 
Special application,Patent printing priority,,,,,1309; 
Special application,Petition to make,,,,,708.02; 1002.02(s); 
Special application,Reexamination,,,,,
Special application,Reexamination,,,,,2261; 
Special application,Reexamination,,,,,2661; 
Special application,Reissue application,,,,,706.03(x); 1442; 
Special application,Remanded by Board,,,,,708.01; 
Special application,Revived applications,,,,,711.03(c); 
Special examining procedure,,,,,,708.02; 
Special Program Examiner SPRE,,,,,,103; 1415.01; 1825; 1845.01; 1851; 
Special Program Examiner SPRE,Petitions decided,,,,,1002.02(s); 
Species,,,,,,806.01; 806.04; 806.04(b); 806.04(d); 806.04(e); 806.04(f); 806.04(h); 806.04(i); 808.01(a); 809.02(a); 
Species,Anticipation by a generic chemical formula,,,,,2131.02; 
Species,Anticipation of a genus by the species,,,,,2131.02; 
Species,Cancellation of species claims,,,,,821.01; 821.02; 
Species,Claims restricted to,,,,,806.04(e); 
Species,Election of,,,,Election of species; ,
Species,How recognized,,,,,806.04(f); 
Species,Independent inventions,,,,,802.01; 808.01(a); 
Species,Mutually exclusive characteristics,,,,,806.04(f); 
Species,Obviousness of,,,,,2144.08; 
Species,Patentably distinct,,,,,806.04(h); 
Species,Patentability over genus,,,,,806.04(h); 
