0,1
"Tucker, Ex parte, 1901 C.D. 140, 47 O.G. 187 (Comm’r Pat. 1901)",1901
"Peck, Ex parte, 1901 C.D. 136, 96 O.G. 2409 (Comm’r Pat. 1901)",1901
"Badger, Ex parte, 1901 C.D. 195, 97 O.G. 1596 (Comm’r Pat. 1901)",1901
"Payne, Ex parte, 1904 C.D. 42, 108 O.G. 1049 (Comm’r Pat. 1903)",1903
"Foster, Ex parte, 1903 C.D. 213, 105 O.G. 261 (Comm’r Pat. 1903)",1903
"Remington, Ex parte, 1905 C.D. 28, 114 O.G. 694 (Comm’r Pat. 1904)",1904
"Freeman, In re, 23 App. D.C. 226 (App. D.C. 1904)",1904
"Elliott, Ex parte, 1904 C.D.103, 109 O.G. 1337 (Comm’r Pat. 1904)",1904
"Card, Ex parte, 1904 C.D. 383 (Comm’r Pat. 1904)",1904
"Burrowes, Ex parte, 110 O.G. 599, 1904 C.D. 155 (Comm’r Pat. 1904)",1904
"Benke, Ex parte, 1904 C.D. 63, 108 O.G. 1588 (Comm’r Pat. 1904)",1904
"Ljungstrom, Ex parte, 1905 C.D. 541, 119 O.G. 2335 (Comm’r Pat. 1905)",1905
"Kohler, Ex parte, 1905 C.D. 192, 116 O.G. 1185 (Comm’r Pat. 1905)",1905
"Caldwell, Ex parte, 1906 C.D. 58 (Comm’r Pat. 1906)",1906
"Hartley, Ex parte, 1908 C.D. 224 (Comm’r Pat. 1908)",1908
"Parke-Davis & Co. v. H.K. Mulford Co., 189 F. 95 (S.D.N.Y. 1911)",1911
"Heany, In re, 1911 C.D. 138 (Comm’r Pat. 1911)",1911
"Good, Ex parte, 1911 C.D. 43, 164 O.G. 789 (Comm’r Pat. 1911)",1911
"Eggan, Ex parte, 1911 C.D. 213, 172 O.G. 1091 (Comm’r Pat. 1911)",1911
"Mattullath, In re, 38 App. D.C. 497 (1912)",1912
"Lohman, Ex parte, 1912 C.D. 336, 184 O.G. 287 (Comm’r Pat. 1912)",1912
"Bayles, Ex parte, 176 O.G. 750 (Comm’r Pat. 1912)",1912
"Norlund, Ex parte, 1913 C.D. 161, 192 O.G. 989 (Comm’r Pat. 1913)",1913
"Marsh Eng’g Co., In re, 1913 C.D. 183 (Comm’r Pat. 1913)",1913
"Henrich, Ex parte, 1913 Dec. Comm’r Pat. 139 (Comm’r Pat. 1913)",1913
"Whitelaw, Ex parte, 1915 C.D. 18, 219 O.G. 1237 (Comm’r Pat. 1914)",1914
"Sanford, Ex parte, 1914 C.D. 69, 204 O.G. 1346 (Comm’r Pat. 1914)",1914
"Wende v. Horine, 225 F. 501 (7th Cir. 1915)",1915
"Minerals Separation, Ltd. v. Hyde, 242 U.S. 261 (1916)",1916
"Cady, Ex parte, 1916 C.D. 62, 232 O.G. 621 (Comm’r Pat. 1916)",1916
"Spiegel, Ex parte, 1919 C.D. 112, 268 O.G. 741 (Comm’r Pat. 1919)",1919
"Rackham, Ex parte, 1923 C.D. 4 (Comm’r Pat. 1922)",1922
"Eibel Process Co. v. Minnesota & Ontario Paper Co., 261 U.S. 45 (1923)",1923
"Comstock, Ex parte, 317 O.G. 4, 1923 C.D. 82 (Comm’r Pat. 1923)",1923
"Markush, Ex parte, 1925 C.D. 126, 340 O.G. 839 (Comm’r Pat. 1924)",1924
"Milburn v. Davis-Bournonville Co., 270 U.S. 390, 46 S. Ct. 324, 1926 C.D. 303, 344 O.G. 817 (1926)",1926
"Jockmus v. Leviton, 28 F.2d 812 (2d Cir. 1928)",1928
"Williams, In re, 36 F.2d 436 (CCPA 1929)",1929
"Townsend v. Smith, 36 F.2d 292, 4 USPQ 269 (CCPA 1929)",1929
"Townsend, In re, 1913 C.D. 55 (Comm’r Pat. 1929)",1929
"Conover v. Downs, 35 F.2d 59 (CCPA 1929)",1929
"Ahrens v. Grey, 1931 C.D. 9, 402 O.G. 261 (Bd. App. 1929)",1929
