0,1
2173.02(III)(D) - p2,1.2
2173.02(III)(D) - p2,1.2
2163.07(II) - p2,1.55
2137.01(I) - p2,1.63
2137.01(I) - p2,1.63
2137.01(I) - p1,1.64
2137.01(I) - p1,1.64
2173.02(III)(B) - p4,1.105
2173.02(III)(B) - p4,1.105
2144.03(A) - p1,1.113
2141.01(I) - p3,1.131
2138.06(II) - p2,1.131
2138.01(III) - p1,1.131
2138.01(II) - p2,1.131
2138.01(II) - p1,1.131
2136.05(IV) - p2,1.131
2136.05(III) - p1,1.131
2133.03(c)(II) - p1,1.131
2133.02(II) - p1,1.131
2132.01(III) - p1,1.131
2184(III) - p1,1.132
2173.05(b)(I) - p3,1.132
2172(II) - p1,1.132
2136.05(III) - p1,1.132
2136.05(II) - p4,1.132
2136.05(II) - p3,1.132
2136.05(I) - p2,1.132
2132.01(III) - p1,1.132
2107.02(VI) - p1,1.132
2163.06(II) - p1,1.181
2136.01(II) - p1,1.217
2163.07(II) - p2,1.55
2163(II)(A)(3)(a) - p2,1.801
2163(I)(B) - p2,1.801
2163(I) - p3,1.801
2163(II)(A)(3)(a) - p2,1.804
2163(I)(B) - p2,1.804
2173.02(III)(B) - p4,1.105
2173.02(III)(B) - p4,1.105
2173.02(III)(B) - p4,1.105
