0,1
2131.02,"A, Ex parte, 17 USPQ2d 1716 (Bd. Pat. App. & Inter. 1990)"
716.02,"A, Ex parte, 17 USPQ2d 1716 (Bd. Pat. App. & Inter. 1990)"
323.01(b),"Abacab Int’l Computers Ltd., In re, 21 USPQ2d 1078 (Comm’r Pat. 1987)"
2111.01,"Abbott Diabetes Care Inc., In re, 696 F.3d 1142, 104 USPQ2d 1337 (Fed. Cir. 2012)"
2173.05(h),"Abbott Laboratories v. Baxter Pharmaceutical Products Inc., 334 F.3d 1274, 67 USPQ2d 1191 (Fed. Cir. 2003)"
2117,"Abbott Laboratories v. Baxter Pharmaceutical Products Inc., 334 F.3d 1274, 67 USPQ2d 1191 (Fed. Cir. 2003)"
2111.03,"Abbott Laboratories v. Baxter Pharmaceutical Products Inc., 334 F.3d 1274, 67 USPQ2d 1191 (Fed. Cir. 2003)"
803.02,"Abbott Laboratories v. Baxter Pharmaceutical Products Inc., 334 F.3d 1274, 67 USPQ2d 1191 (Fed. Cir. 2003)"
706.03(y),"Abbott Laboratories v. Baxter Pharmaceutical Products Inc., 334 F.3d 1274, 67 USPQ2d 1191 (Fed. Cir. 2003)"
706.03(y),"Abbott Laboratories v. Baxter Pharmaceutical Products Inc., 334 F.3d 1274, 67 USPQ2d 1191 (Fed. Cir. 2003)"
2133.03(c),"Abbott Laboratories v. Geneva Pharmaceuticals, Inc., 182 F.3d 1315, 51 USPQ2d 1307 (Fed. Cir. 1999)"
2112,"Abbott Laboratories v. Geneva Pharmaceuticals, Inc., 182 F.3d 1315, 51 USPQ2d 1307 (Fed. Cir. 1999)"
2143,"Abbott Labs. v. Sandoz, Inc., 544 F.3d 1341, 89 USPQ2d 1161 (Fed. Cir. 2008)"
2286,"Abbott Labs. v. Syntron Bioreseach, Inc., 334 F.3d 1343, 67 USPQ2d 1337 (Fed. Cir. 2003)"
2286,"Abbott Labs. v. Syntron Bioreseach, Inc., 334 F.3d 1343, 67 USPQ2d 1337 (Fed. Cir. 2003)"
2751,"Abbott Laboratories v. Young, 920 F.2d 984, 17 USPQ2d 1027 (D.C. Cir. 1990)"
2163.05,"AbbVie Duetschland GmbH & Co., KG v. Janssen Biotech, Inc., 759 F.3d 1285, 111 USPQ2d 1780 (Fed. Cir. 2014)"
2163.01,"AbbVie Duetschland GmbH & Co., KG v. Janssen Biotech, Inc., 759 F.3d 1285, 111 USPQ2d 1780 (Fed. Cir. 2014)"
2163,"AbbVie Duetschland GmbH & Co., KG v. Janssen Biotech, Inc., 759 F.3d 1285, 111 USPQ2d 1780 (Fed. Cir. 2014)"
2184,"Abele, In re, 684 F.2d 902, 214 USPQ 682 (CCPA 1982)"
2106.04(a)(2),"Abele, In re, 684 F.2d 902, 214 USPQ 682 (CCPA 1982)"
2106.04(a)(2),"Accenture Global Services v. Guidewire Software, Inc., 728 F.3d 1336, 108 USPQ2d 1173 (Fed. Cir. 2013)"
706.03(w),"Ackermann, In re, 444 F.2d 1172, 170 USPQ 340 (CCPA 1971)"
715.05,"Adler v. Kluver, 159 USPQ 511 (Bd. Pat. Inter. 1968)"
715.05,"Adler v. Kluver, 159 USPQ 511 (Bd. Pat. Inter. 1968)"
715.05,"Adler v. Kluver, 159 USPQ 511 (Bd. Pat. Inter. 1968)"
2301.03,"Aelony v. Arni, 547 F.2d 566, 192 USPQ 486 (CCPA 1977)"
2155.06,"Aelony v. Arni, 547 F.2d 566, 192 USPQ 486 (CCPA 1977)"
2111.03,"AFG Industries, Inc. v. Cardinal IG Company, Inc., 239 F.3d 1239, 57 USPQ2d 1776 (Fed. Cir. 2001)"
1412.04,"A.F. Stoddard & Co. v. Dann, 564 F.2d 556, 195 USPQ 97 (D.C. Cir. 1977)"
2665,"Affidavit Filed After Final Rejection, In re, 152 USPQ 292, 1966 C.D. 53 (Comm’r Pat. 1966)"
2265,"Affidavit Filed After Final Rejection, In re, 152 USPQ 292, 1966 C.D. 53 (Comm’r Pat. 1966)"
2265,"Affidavit Filed After Final Rejection, In re, 152 USPQ 292, 1966 C.D. 53 (Comm’r Pat. 1966)"
2265,"Affidavit Filed After Final Rejection, In re, 152 USPQ 292, 1966 C.D. 53 (Comm’r Pat. 1966)"
2106.07(a),"Affinity Labs of Tex. v. Amazon.com, 838 F.3d 1266, 120 USPQ2d 1210 (Fed. Cir. 2016)"
2106.05(a),"Affinity Labs of Tex. v. Amazon.com, 838 F.3d 1266, 120 USPQ2d 1210 (Fed. Cir. 2016)"
2106.05(h),"Affinity Labs of Tex. v. DirecTV, LLC, 838 F.3d 1253, 120 USPQ2d 1201 (Fed. Cir. 2016)"
2106.05(f),"Affinity Labs of Tex. v. DirecTV, LLC, 838 F.3d 1253, 120 USPQ2d 1201 (Fed. Cir. 2016)"
2106.05(a),"Affinity Labs of Tex. v. DirecTV, LLC, 838 F.3d 1253, 120 USPQ2d 1201 (Fed. Cir. 2016)"
2103,"Affinity Labs of Tex. v. DirecTV, LLC, 838 F.3d 1253, 120 USPQ2d 1201 (Fed. Cir. 2016)"
2304.02(d),"Agilent Techs., Inc. v. Affymetrix, Inc., 567 F.3d 1366, 91 USPQ2d 1161 (Fed. Cir. 2009)"
2301.03,"Agilent Techs., Inc. v. Affymetrix, Inc., 567 F.3d 1366, 91 USPQ2d 1161 (Fed. Cir. 2009)"
