0,1
1825,A4 size paper
608.02,A4 size paper
608.02,A4 size paper
608.02,A4 size paper
608.02,A4 size paper
608.01,A4 size paper
608.01,A4 size paper
608.01,A4 size paper
608.01,A4 size paper
608.01,A4 size paper
608.01,A4 size paper
608.01,A4 size paper
901.04,A.I. series of patents
711.04,Abandoned application - Accessibility to public
103,Abandoned application - Accessibility to public
711.04(a),"Abandoned application - Counting, when processed"
203.05,Abandoned application - Definition
1124,Abandoned application - Failure to provide timely notice of foreign filing when nonpublication requested
711.03(c),Abandoned application - Fee on petition to revive
711.03(c),"Abandoned application - Issue fee, failure to pay"
905.03,Abandoned application - Ordering
711.04(b),Abandoned application - Ordering
508.02,"Abandoned application - Papers received, handling"
211.01(a),Abandoned application - Provisional application
211.01(a),Abandoned application - Provisional application
211.01(a),Abandoned application - Provisional application
201.04,Abandoned application - Provisional application
2136.02,Abandoned application - Reference use
2127,Abandoned application - Reference use
901.02,Abandoned application - Reference use
103,Abandoned application - Referred to in issued patent
1893.02,Abandoned application - Revival
711.03(c),Abandoned application - Revival
711.03(c),Abandoned application - Revival - Provisional application
711.04(b),Abandoned application - Storage
103,Abandoned application - When open to the public
901.01(a),Abandoned files repository
711.04(b),Abandoned files repository
711,Abandonment
711.05,Abandonment - After allowance
711.01,Abandonment - After payment of issue fee
714.17,Abandonment - Amendment late
711.02,Abandonment - Amendment late
711.02,Abandonment - Amendment late
711.02,Abandonment - Amendment late
1215.04,Abandonment - Appeal dismissal
1215.04,Abandonment - Appeal dismissal
1215.04,Abandonment - Appeal dismissal
1215.04,Abandonment - Appeal dismissal
1215.03,Abandonment - Appeal withdrawal
1215.01,Abandonment - Appeal withdrawal
711,Abandonment - Assignee must consent
711.03(c),Abandonment - Change of address
1705,Abandonment - Counted as a disposal
711.04(a),Abandonment - Date of
211.01(b),Abandonment - Destroys continuity
211.01(b),Abandonment - Destroys continuity
211.01,Abandonment - Destroys continuity
211.01,Abandonment - Destroys continuity
711.01,Abandonment - Express
711,Abandonment - Express
201.06(d),Abandonment - Express - Continued prosecution application CPA
201.06(d),Abandonment - Express - Continued prosecution application CPA
201.06(d),Abandonment - Express - Continued prosecution application CPA
201.06(d),Abandonment - Express - Continued prosecution application CPA
201.06(d),Abandonment - Express - Continued prosecution application CPA
201.06(d),Abandonment - Express - Continued prosecution application CPA
201.06(d),Abandonment - Express - Continued prosecution application CPA
711.03(c),Abandonment - Express - Issue fee not paid
711.05,Abandonment - Express - Issue fee paid
711.01,Abandonment - Express - Issue fee paid
150,Abandonment - Failure to file property rights statement
711.03(c),Abandonment - Failure to pay issue fee
711.02,Abandonment - Failure to prosecute
711.02,Abandonment - Failure to prosecute
711.02,Abandonment - Failure to prosecute
1124,Abandonment - Failure to provide timely notice of foreign filing after non-publication request
711.01,Abandonment - Formal
711,Abandonment - Formal
711.04(a),Abandonment - Forwarding
711.03(a),Abandonment - Incomplete reply
711.02,Abandonment - No reply
711.02,Abandonment - No reply
711.02,Abandonment - No reply
711,Abandonment - No reply
711.04(c),Abandonment - Notification of
711.02,Abandonment - Notification of
711.02,Abandonment - Notification of
711.02,Abandonment - Notification of
1210,Abandonment - Of appeal
2138.03,Abandonment - Of invention
2134,Abandonment - Of invention
706.02(d),Abandonment - Of invention
508.02,Abandonment - Papers received after
1002.02(p),Abandonment - Petition to revive
1002.02(f),Abandonment - Petition to revive
1002.02(b),Abandonment - Petition to revive
711.04(c),Abandonment - Petition to revive
711.03(c),Abandonment - Petition to revive
711.03(d),Abandonment - Petition to withdraw holding of examiner’s statement
711.03(c),Abandonment - Petition to withdraw holding of examiner’s statement
201.06(c),Abandonment - Prior application
201.06(c),Abandonment - Prior application
211.01(a),Abandonment - Provisional application
211.01(a),Abandonment - Provisional application
211.01(a),Abandonment - Provisional application
201.04,Abandonment - Provisional application
711.04(a),Abandonment - Pulling
711.03(c),Abandonment - Reconsideration
711.03,Abandonment - Reconsideration
711.03(b),Abandonment - Reconsideration - Failure to respond
711.03(a),Abandonment - Reconsideration - Insufficiency of response
1416,Abandonment - Reissue - Return of surrendered patent
711.03(c),Abandonment - Revival
711.03,Abandonment - Revival
711.04(a),Abandonment - Shortened statutory period expired
710.02(d),Abandonment - Shortened statutory period expired
711.02(b),Abandonment - Special situations
711.02(c),Abandonment - Termination of proceedings
211.01(b),Abandonment - Termination of proceedings
211.01(b),Abandonment - Termination of proceedings
211.01(a),Abandonment - Termination of proceedings
211.01(a),Abandonment - Termination of proceedings
211.01(a),Abandonment - Termination of proceedings
707.13,Abandonment - Undelivered action
1124,Abandonment - Unintentional
711.03(c),Abandonment - Unintentional
711.03(c),Abandonment - Withdrawal of holding
707.05(e),"Abbreviation, periodical citation"
711.06,Abbreviature and abstract publication
711.06(a),Abbreviature and abstract publication - Citation
711.06,Abstract for defensive publication
1826,Abstract of international application
1302.04,Abstract of the disclosure
1302.04,Abstract of the disclosure
1302.04,Abstract of the disclosure
1302.04,Abstract of the disclosure
1302.04,Abstract of the disclosure
608.01(b),Abstract of the disclosure
608.01(b),Abstract of the disclosure
608.01(b),Abstract of the disclosure
608.01(b),Abstract of the disclosure
608.01(b),Abstract of the disclosure
608.01(b),Abstract of the disclosure
608.01(b),Abstract of the disclosure
711.06,Abstract publication
708.02,Accelerated examination
2632.01,Access
2609,Access
2232,Access
405,Access - Attorney not of record
402,Access - Attorney not of record
402,Access - Attorney not of record
104,Access - Authority to grant access to an application
104,Access - Authorized by Director
103,Access - Continued Prosecution Application CPA
2632.01,Access
2609,Access
2232,Access
105,Access - Excluded attorney or agent
2632.01,Access
2609,Access
2232,Access
103,Access - Image file wrapper application
110,Access - International application
1132,Access - Pending application
1128,Access - Pending application
724.04(a),Access - Pending application
724.04,Access - Pending application
106,Access - Pending application
104,Access - Pending application
103,Access - Pending application
101,Access - Pending application
103,Access - Petition
1901.07,Access - Protested application
1901.05,Access - Protested application
104,Access - Provisional application
103,Access - Provisional application
1132,Access - Published application
1130,Access - Published application
1128,Access - Published application
103,Access - Published application
1430,Access - Reissue application
724.04(b),Access - Reissue application
103,Access - Reissue application
2803.02,Access - Supplemental examination
103,Access - Suspended attorney or agent
105,"Access - Unpublished, Abandoned, and pending applications"
1901.05,Acknowledgment of protest
714.13,Action - Advisory action
714.13,Action - Advisory action
706.07(f),Action - Advisory action
706.07(f),Action - Advisory action
706.04,Action - After another examiner’s action
706.04,Action - After another examiner’s action
1214.07,Action - After Board decision
1214.07,Action - After Board decision
1214.03,Action - After Board decision
1214.01,Action - After Board decision
1214.04,Action - After Board decision reversing examiner
1214.06,Action - After Board decision sustaining examiner
1214.06,Action - After Board decision sustaining examiner
1214.06,Action - After Board decision sustaining examiner
1214.06,Action - After Board decision sustaining examiner
2308,Action - After interference
2308,Action - After interference
714.13,Action - Amendment after final rejection
714.13,Action - Amendment after final rejection
714.12,Action - Amendment after final rejection
706.07(f),Action - Amendment after final rejection
706.07(f),Action - Amendment after final rejection
710.06,Action - Citation of references
707.05,Action - Citation of references
707.05,Action - Citation of references
707.07(i),Action - Claim summary
714.10,Action - Claims in excess of number of claims previously paid for
707.07(a),Action - Completeness
707.07(a),Action - Completeness
707.07,Action - Completeness
707.12,Action - Copy to applicant
707.05(a),Action - Copies of references
707.05(a),Action - Copies of references
710.06,"Action - Correctness, Period for reply"
1705,Action - Counted
714.05,Action - Crosses amendment
707.11,Action - Date
211.05,Action - Domestic benefit determination
211.05,Action - Domestic benefit determination
211.05,Action - Domestic benefit determination
211.05,Action - Domestic benefit determination
210,Action - Domestic benefit determination
707.01,Action - Entry
707,Action - Examiner’s
707,Action - Examiner’s
707,Action - Examiner’s
707,Action - Examiner’s
707,Action - Examiner’s
713.09,Action - Final rejection
706.07(f),Action - Final rejection
706.07(f),Action - Final rejection
706.07,Action - Final rejection
706.07,Action - Final rejection
706.07,Action - Final rejection
1453,Action - Final rejection - In reissue applications
1453,Action - Final rejection - In reissue applications
1453,Action - Final rejection - In reissue applications
1444,Action - Final rejection - In reissue applications
1444,Action - Final rejection - In reissue applications
1444,Action - Final rejection - In reissue applications
217,Action - Foreign priority determination
217,Action - Foreign priority determination
213,Action - Foreign priority determination
213,Action - Foreign priority determination
210,Action - Foreign priority determination
714.02,Action - Formal matter
707.07(j),Action - Formal matter
