0,1,2
AIA/32,Appeal,Request for Oral Hearing Before the Patent Trial and Appeal Board
AIA/33,Appeal,Pre-Appeal Brief Request for Review
AIA/34,Appeal,Certification and Transmittal of Appeal Forwarding Fee
AIA/14,Application Data Sheet,Application Data Sheet (37 CFR 1.76)
SB/92,Certificate of Mailing/Transmission,Certificate of Mailing or Transmission under 37 CFR 1.8
SB/124,Customer Number,Request for Customer Number Data Change
SB/125,Customer Number,Request for Customer Number
SB/29,Design,For Design Applications Only: Continued Prosecution Application (CPA) Request Transmittal
SB/29A,Design,For Design Applications Only: Receipt For Facsimile Transmitted CPA
SB/27,Design,Request for Expedited Examination of a Design Application (37 CFR 1.155)
AIA/24,Express Abandonment,Express Abandonment Under 37 CFR 1.138
AIA/24A,Express Abandonment,Petition for Express Abandonment to Avoid Publication under 37 CFR 1.138(c)
AIA/24B,Express Abandonment,Petition for Express Abandonment to Obtain a Refund
SB/06,Fees,Patent Application Fee Determination Record
SB/07,Fees,Multiple Dependent Claim Fee Calculation Sheet
SB/15A,Fees,Certification of Micro Entity Status - Gross Income Basis
SB/15B,Fees,Certification of Micro Entity Status - Institution of Higher Education Basis
SB/17,Fees,Fee Transmittal
SB/17i,Fees,Processing Fee Under 37 CFR 1.17(i) Transmittal
AIA/17p,Fees,"Petition Fee Under 37 CFR 1.17(f), (g) & (h) Transmittal"
SB/45,Fees,Maintenance Fee Transmittal
AIA/47,Fees,"""Fee Address"" Indication Form"
SB/56,Fees,Reissue Application Fee Transmittal
PTOL-85,Fees,Fee Transmittal (Part B) of the Notice of Allowance and Fee(s) Due Form
SB/91,Fees,Deposit Account Order Form
SB/448,Fees,Certification and Request to Treat an Application Filed During a Designated Significant Unplanned Electronic Business System Outage as an Application Filed by the USPTO’s Electronic Filing System
PTO-2038,Fees,Credit Card Payment Form and Instructions
PTO-2326,Fees,Request for Refund
SB/08a-EFS-Web,Information Disclosure Statement,Information Disclosure Statement by Applicant - EFS-Web auto-load version
